p_val,avg_logFC,pct.1,pct.2,cluster,gene,,
0,3.678868269,0.745,0.023,1,Sftpc,,AT2 Cell
0,3.193245424,0.95,0.113,1,Sftpa1,,
0,3.081591626,0.937,0.119,1,Sftpb,,
0,2.86290002,0.672,0.064,1,Lyz2,,
0,2.427149342,0.968,0.278,1,Cxcl15,,
0,2.351690644,0.91,0.168,1,Slc34a2,,
0,2.124598982,0.739,0.066,1,Lamp3,,
0,2.011521709,0.939,0.308,1,Chil1,,
0,1.893720695,0.991,0.505,1,Sftpd,,
0,1.889352984,0.924,0.24,1,Napsa,,
0,1.842019994,0.902,0.359,1,Scd1,,
0,1.799564559,0.85,0.176,1,Sfta2,,
0,1.772694524,0.527,0.044,1,Dram1,,
0,1.766038369,0.793,0.174,1,S100g,,
0,1.745227164,0.715,0.11,1,Lpcat1,,
2.22E-80,1.70497056,0.626,0.386,1,Lyz1,,
0,1.694631604,0.865,0.235,1,Rnase4,,
0,1.648010938,0.734,0.16,1,Hc,,
0,1.63125545,0.635,0.142,1,Fabp5,,
0,1.62590908,0.465,0.033,1,Bex4,,
0,1.614187267,0.573,0.099,1,Mid1ip1,,
0,1.59474846,0.757,0.202,1,Elovl1,,
0,1.57911975,0.584,0.085,1,Ptprf,,
0,1.540772305,0.673,0.12,1,Atp1b1,,
0,1.461926571,0.947,0.347,1,Wfdc2,,
0,1.458683436,0.388,0.032,1,Gm43085,,
0,1.452607262,0.491,0.064,1,Lgi3,,
6.39E-294,1.441515006,0.398,0.05,1,Bex2,,
0,1.427017173,0.517,0.084,1,Prnp,,
0,1.421511711,0.417,0.039,1,Egfl6,,
0,1.412039339,0.616,0.138,1,Fasn,,
0,1.388941614,0.56,0.098,1,Muc1,,
0,1.370306457,0.426,0.056,1,Car8,,
2.52E-296,1.364040876,0.398,0.048,1,Il33,,
1.58E-257,1.359328529,0.336,0.037,1,Cox6a2,,
0,1.342998062,0.375,0.033,1,Ppp1r14c,,
0,1.340591445,0.655,0.171,1,Tceal9,,
1.33E-285,1.311939475,0.445,0.075,1,Abca3,,
0,1.306841489,0.986,0.693,1,Npc2,,
9.28E-198,1.298783158,0.358,0.071,1,Chia1,,
0,1.296908133,0.887,0.332,1,Cbr2,,
0,1.253961725,0.608,0.13,1,Cldn3,,
6.32E-266,1.230330858,0.392,0.058,1,Sdc1,,
1.90E-248,1.228987231,0.305,0.028,1,Irx1,,
2.30E-253,1.226031963,0.324,0.033,1,Etv5,,
0,1.224853227,0.759,0.205,1,Chchd10,,
5.72E-218,1.202827607,0.393,0.078,1,Zdhhc3,,
8.85E-243,1.198527999,0.346,0.047,1,Cmtm8,,
4.08E-239,1.185013031,0.333,0.042,1,Pi4k2b,,
5.20E-243,1.179655095,0.413,0.078,1,Socs2,,
5.07E-259,1.170420625,0.477,0.103,1,Gde1,,
7.97E-293,1.165776406,0.489,0.088,1,Ces1d,,
5.05E-139,1.15919262,0.374,0.116,1,Lrg1,,
3.32E-243,1.158862537,0.465,0.104,1,Acot7,,
1.96E-226,1.153728914,0.388,0.071,1,Pla2g1b,,
1.49E-197,1.149610141,0.309,0.048,1,Gclc,,
2.89E-224,1.149468407,0.329,0.045,1,Cpm,,
1.97E-178,1.147057283,0.33,0.065,1,Apoc1,,
2.57E-217,1.140889176,0.275,0.026,1,Fgfr2,,
4.81E-203,1.138376724,0.243,0.02,1,Grb14,,
3.42E-298,1.131117066,0.463,0.072,1,Cldn18,,
0,1.124600765,0.668,0.183,1,Cd36,,
0,1.116149131,0.677,0.191,1,Lcn2,,
6.36E-216,1.115496776,0.388,0.076,1,Atp11a,,
1.87E-209,1.110267031,0.327,0.051,1,Slc31a1,,
2.27E-220,1.102595302,0.292,0.031,1,Mlc1,,
2.28E-208,1.101532698,0.289,0.035,1,Nkx2-1,,
2.08E-210,1.095277675,0.301,0.039,1,Tmem243,,
1.18E-240,1.092782842,0.432,0.086,1,Spint2,,
3.30E-202,1.091219613,0.235,0.016,1,Acoxl,,
4.10E-201,1.089314582,0.265,0.028,1,Ank3,,
4.34E-224,1.081726171,0.53,0.155,1,Tgoln1,,
9.56E-194,1.073851116,0.298,0.044,1,Abcd3,,
1.22E-187,1.058231635,0.334,0.063,1,Errfi1,,
4.54E-256,1.056936624,0.68,0.253,1,Ctsh,,
5.09E-212,1.051696103,0.475,0.126,1,Ctnnb1,,
2.22E-226,1.043077542,0.449,0.102,1,Mettl7a1,,
2.55E-184,1.04127474,0.286,0.043,1,Acsl4,,
8.80E-147,1.025324526,0.202,0.022,1,Itih4,,
3.09E-180,1.023764915,0.328,0.062,1,Ang,,
3.15E-176,1.019796733,0.269,0.038,1,Smim6,,
4.93E-222,1.01445905,0.452,0.106,1,Tpm1,,
7.85E-167,1.007389959,0.237,0.029,1,Tfrc,,
1.38E-205,1.00525453,0.406,0.09,1,Alcam,,
