"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ptprcap",0,2.42182557585307,0.976,0.007,0,"0","Ptprcap"
"Cd2",0,1.71451327313172,0.643,0.001,0,"0","Cd2"
"Ltb",1.91080939030475e-291,2.1847693407925,0.833,0.009,4.46002019791033e-287,"0","Ltb"
"Ms4a4b",1.38516553875291e-272,1.93338341300464,0.595,0.003,3.23311488400318e-268,"0","Ms4a4b"
"Cd3e",2.50230035040877e-261,1.67623957552484,0.476,0.001,5.8406192478891e-257,"0","Cd3e"
"Cd28",1.81790740756983e-259,1.29913313844902,0.452,0,4.24317768000873e-255,"0","Cd28"
"Thy1",4.32068746468181e-249,1.82946842285692,0.643,0.005,1.00849166113138e-244,"0","Thy1"
"Cd3g",1.79265833391733e-224,2.16207409172462,0.524,0.003,4.18424381719643e-220,"0","Cd3g"
"Cd3d",1.91914372711044e-224,2.14657393316211,0.524,0.003,4.47947337344847e-220,"0","Cd3d"
"Lat",3.74183551314966e-205,1.60741415308145,0.548,0.005,8.73381827124263e-201,"0","Lat"
"Gimap7",2.60672634244458e-204,0.89448060879449,0.381,0.001,6.08435995589991e-200,"0","Gimap7"
"Ccr7",1.94145319019735e-193,1.66342478357417,0.381,0.001,4.53154589123962e-189,"0","Ccr7"
"Nkg7",6.38770126358343e-192,2.44347839630263,0.5,0.004,1.49095335193301e-187,"0","Nkg7"
"Ctsw",1.10249864043353e-188,1.43771890884749,0.405,0.002,2.5733420766359e-184,"0","Ctsw"
"Sh2d1a",7.77270935121696e-184,0.859063434690146,0.381,0.001,1.81422808966755e-179,"0","Sh2d1a"
"Sh2d2a",5.14994163939178e-170,0.906432575002137,0.357,0.001,1.20204787805043e-165,"0","Sh2d2a"
"Zap70",6.70820402181764e-170,0.745681263135256,0.357,0.001,1.56576190073246e-165,"0","Zap70"
"Itk",1.20399517190415e-165,0.843550100028364,0.333,0.001,2.81024513074148e-161,"0","Itk"
"Ms4a1",1.69097778372739e-159,1.54762701799148,0.286,0,3.94691124499809e-155,"0","Ms4a1"
"Sit1",1.76733184453307e-159,0.69869488555339,0.286,0,4.12512925832464e-155,"0","Sit1"
"Tbc1d10c",9.56346519474547e-154,1.08349787896395,0.5,0.007,2.23220841110554e-149,"0","Tbc1d10c"
"Il2rb",8.36610976985718e-152,1.08427499831997,0.31,0.001,1.95273368138236e-147,"0","Il2rb"
"Lck",7.26575822956968e-150,1.3928502548523,0.571,0.011,1.69590062836386e-145,"0","Lck"
"Tnfrsf18",7.27603137895147e-148,1.07884706905738,0.452,0.006,1.69829848416106e-143,"0","Tnfrsf18"
"Skap1",1.76417167391771e-143,1.19396212018907,0.5,0.008,4.11775310409132e-139,"0","Skap1"
