"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cd74",8.95908161246981e-194,6.53831463660823,0.985,0.342,2.09113923916658e-189,"0","Cd74"
"H2-Ab1",1.09544821329882e-189,6.94339675715729,0.977,0.292,2.55688567466078e-185,"0","H2-Ab1"
"H2-Aa",5.5785631568929e-189,6.6023171860258,0.975,0.272,1.30209242645037e-184,"0","H2-Aa"
"H2-Eb1",3.98402626495319e-188,6.20853290074265,0.968,0.18,9.29911570502725e-184,"0","H2-Eb1"
"Cd79a",2.25178694395081e-185,6.95675076115548,0.957,0.095,5.25589590587558e-181,"0","Cd79a"
"Cd79b",8.39437615487852e-178,4.92811498744665,0.944,0.12,1.95933133831019e-173,"0","Cd79b"
"Ly6d",9.51723379177177e-172,5.98880427132533,0.928,0.138,2.22141753933745e-167,"0","Ly6d"
"Ms4a1",1.24867997592467e-163,6.98123542176908,0.894,0.045,2.91454393180577e-159,"0","Ms4a1"
"H2-DMb2",6.16668580696373e-162,6.97800624031239,0.886,0.035,1.43936613420341e-157,"0","H2-DMb2"
"Cd19",4.32029222481762e-152,6.91683119235804,0.858,0.038,1.00839940819468e-147,"0","Cd19"
"Faim3",8.33402186934418e-149,7.30727892564476,0.85,0.05,1.94524404452362e-144,"0","Faim3"
"Unc93b1",1.1079442336907e-117,3.52678495766029,0.806,0.17,2.58605263585746e-113,"0","Unc93b1"
"Bank1",4.03304376254668e-117,5.84980757582536,0.733,0.012,9.4135274461602e-113,"0","Bank1"
"Syk",1.89835640277588e-115,3.25209856245876,0.781,0.07,4.43095367971917e-111,"0","Syk"
"Mef2c",8.647328519954e-114,4.13722888435215,0.757,0.08,2.01837294984246e-109,"0","Mef2c"
"Ly86",5.09662397848915e-112,5.8211443030354,0.736,0.072,1.18960300281915e-107,"0","Ly86"
"H2-Ob",1.69364810307909e-111,3.02490780166489,0.8,0.15,3.95314403739691e-107,"0","H2-Ob"
"Cd22",1.23468213580011e-107,4.8971511674972,0.702,0.018,2.88187157317103e-103,"0","Cd22"
"Napsa",1.71855586625001e-106,3.61036852628746,0.732,0.065,4.01128124741415e-102,"0","Napsa"
"Blnk",2.67615549734448e-103,6.07832307442364,0.688,0.032,6.24641454635176e-99,"0","Blnk"
"Fcrl1",1.09022813349475e-100,3.88733618248656,0.695,0.038,2.5447014863901e-96,"0","Fcrl1"
"Lyn",1.30766926633865e-100,3.30389589334488,0.728,0.088,3.05223083456104e-96,"0","Lyn"
"Fcer2a",4.16200881090011e-99,6.71894003129183,0.655,0.005,9.71454476552195e-95,"0","Fcer2a"
"H2-DMa",1.36322304323568e-98,2.56926418325849,0.771,0.182,3.1818989052164e-94,"0","H2-DMa"
"Cd37",3.22338554550775e-98,1.45590631699769,0.944,0.668,7.52370420176965e-94,"0","Cd37"
"Tnfrsf13c",9.17947559690462e-98,4.55092022205075,0.668,0.03,2.14258139907351e-93,"0","Tnfrsf13c"
"Spib",1.68135174867204e-97,6.23812465276696,0.658,0.02,3.9244431165754e-93,"0","Spib"
"Ctsh",1.69411684271138e-93,5.98207749540766,0.694,0.125,3.95423812257264e-89,"0","Ctsh"
"Serp1",1.7884083317883e-93,1.98475957385038,0.87,0.392,4.17432388722707e-89,"0","Serp1"
"Blk",2.78452809476068e-91,5.97839981797673,0.623,0.008,6.49936702598091e-87,"0","Blk"
"Scd1",1.39324212482909e-88,5.75718638949241,0.638,0.05,3.25196644356358e-84,"0","Scd1"
"Ralgps2",8.33430078783436e-86,2.91158169703294,0.695,0.105,1.94530914688842e-81,"0","Ralgps2"
"H3f3a",1.47059920853004e-85,1.22084645372223,0.963,0.878,3.43252561262997e-81,"0","H3f3a"
"Pou2af1",3.38432090284423e-85,3.41432368245755,0.638,0.048,7.89934341932871e-81,"0","Pou2af1"
"H2-Oa",1.77621088921151e-81,3.7069413254908,0.618,0.052,4.14585383650859e-77,"0","H2-Oa"
"Bcl11a",2.57787452783053e-81,5.17417409760544,0.579,0.01,6.01701693540925e-77,"0","Bcl11a"
"Hvcn1",1.04595759924952e-80,2.08823076764237,0.774,0.235,2.44136963240831e-76,"0","Hvcn1"
"Siglecg",1.3854925370286e-80,6.18968990679507,0.586,0.025,3.23387813067846e-76,"0","Siglecg"
"Cd24a",1.70588921580955e-79,4.71971810067572,0.631,0.1,3.98171601862108e-75,"0","Cd24a"
"Dok3",1.37458075666469e-78,4.6694832678972,0.58,0.025,3.20840894413105e-74,"0","Dok3"
"Ctss",3.44363608943503e-78,1.6886584796122,0.883,0.52,8.0377909963503e-74,"0","Ctss"
"Fcrla",2.94143835087927e-77,6.00358913779708,0.557,0.008,6.86561125478729e-73,"0","Fcrla"
"Cr2",4.97515986526138e-77,5.88201447764077,0.559,0.01,1.16125206415066e-72,"0","Cr2"
"2010001M09Rik",1.67959673852193e-76,5.92082819920821,0.559,0.015,3.92034674738404e-72,"0","2010001M09Rik"
"Sdc4",3.6660258576907e-75,2.79197956027513,0.767,0.392,8.55687095443586e-71,"0","Sdc4"
"Pkig",1.12933570738469e-70,3.89394157500424,0.562,0.05,2.6359824746066e-66,"0","Pkig"
"Swap70",6.86190344039689e-70,3.45156766274986,0.574,0.06,1.60163688202304e-65,"0","Swap70"
"Serinc3",2.61710039511542e-69,1.41875104896106,0.932,0.6,6.10857403223891e-65,"0","Serinc3"
"Serpinb1a",3.74463246216149e-69,3.85828242489595,0.572,0.075,8.74034662993114e-65,"0","Serpinb1a"
"Ebf1",7.13553560647291e-68,5.63261623461381,0.544,0.05,1.66550536590684e-63,"0","Ebf1"
"Notch2",2.039619863752e-67,1.71195433666876,0.841,0.43,4.76067672398355e-63,"0","Notch2"
"Cybasc3",3.05796110903945e-67,2.71087712604813,0.603,0.102,7.13758702460898e-63,"0","Cybasc3"
"Ctsz",6.249149460788e-65,2.17694685157881,0.698,0.27,1.45861397564253e-60,"0","Ctsz"
"Fth1",7.26635697192314e-65,0.753128549795163,0.995,0.992,1.69604038081658e-60,"0","Fth1"
"Irf8",9.5204709008159e-65,1.66741751640414,0.675,0.178,2.22217311295944e-60,"0","Irf8"
"Cybb",3.31594714049925e-64,4.65782933631715,0.52,0.038,7.73975222063931e-60,"0","Cybb"
"Gga2",4.7410423214312e-63,3.13661300340167,0.527,0.04,1.10660668824526e-58,"0","Gga2"
"Btk",6.27272735173076e-63,3.9331958659783,0.507,0.028,1.46411729116748e-58,"0","Btk"
"Ly6e",1.5017587556341e-62,0.87985692313977,0.988,0.935,3.50525511152556e-58,"0","Ly6e"
"Cd81",2.4900349806711e-61,2.98400384387882,0.719,0.398,5.81199064838442e-57,"0","Cd81"
