"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Retnlg",0,6.96158491467687,0.896,0.082,0,"0","Retnlg"
"Mmp9",0,5.78144085451249,0.951,0.04,0,"0","Mmp9"
"Mmp8",0,5.27043999438936,0.758,0.065,0,"0","Mmp8"
"Fpr1",0,5.03282876953038,0.624,0.01,0,"0","Fpr1"
"Gm10872",0,4.83713876766569,0.343,0.003,0,"0","Gm10872"
"Il1f9",0,4.83148295124703,0.472,0.011,0,"0","Il1f9"
"Ceacam10",0,4.7897372033472,0.523,0.021,0,"0","Ceacam10"
"Slfn4",0,4.78916126722983,0.75,0.024,0,"0","Slfn4"
"Il1rn",0,4.7001201957174,0.493,0.018,0,"0","Il1rn"
"Cxcr2",0,4.69428436034856,0.83,0.065,0,"0","Cxcr2"
"Adam8",0,4.64333179417255,0.838,0.039,0,"0","Adam8"
"Fpr2",0,4.49073917217494,0.878,0.037,0,"0","Fpr2"
"Dhrs9",0,4.45762039757604,0.493,0.009,0,"0","Dhrs9"
"Scrg1",0,4.18497054373322,0.38,0.007,0,"0","Scrg1"
"Cd300ld",0,4.0906483949075,0.445,0.019,0,"0","Cd300ld"
"C5ar1",0,3.91112471735943,0.951,0.081,0,"0","C5ar1"
"Il1r2",0,3.86826222329316,0.648,0.061,0,"0","Il1r2"
"Trem1",0,3.82202401018712,0.566,0.049,0,"0","Trem1"
"Slpi",0,3.777173325702,0.937,0.176,0,"0","Slpi"
"Ifitm6",0,3.70929459425452,0.901,0.131,0,"0","Ifitm6"
"AA467197",0,3.65952828420306,0.656,0.055,0,"0","AA467197"
"Mmp25",0,3.65264265210353,0.551,0.028,0,"0","Mmp25"
"Mxd1",0,3.62542638585107,0.972,0.221,0,"0","Mxd1"
"Crispld2",0,3.60179076760509,0.662,0.082,0,"0","Crispld2"
"Mrgpra2b",0,3.59883770886338,0.666,0.049,0,"0","Mrgpra2b"
"Pilra",0,3.46998640614062,0.876,0.087,0,"0","Pilra"
"G0s2",0,3.46890559397334,0.586,0.074,0,"0","G0s2"
"Cd33",0,3.46734376892973,0.728,0.093,0,"0","Cd33"
"Ankrd22",0,3.41222469896524,0.536,0.036,0,"0","Ankrd22"
"Chi3l1",0,3.40820768700008,0.905,0.094,0,"0","Chi3l1"
"1100001G20Rik",0,3.40496790785031,0.979,0.095,0,"0","1100001G20Rik"
"Hdc",0,3.40068727146398,0.915,0.095,0,"0","Hdc"
"Lrg1",0,3.39482449059439,0.858,0.072,0,"0","Lrg1"
"1700047M11Rik",0,3.34817685897815,0.501,0.019,0,"0","1700047M11Rik"
"Gp49a",0,3.33853147349189,0.878,0.076,0,"0","Gp49a"
"Bmx",0,3.32892906618433,0.591,0.034,0,"0","Bmx"
"S100a9",0,3.29037038147998,1,0.316,0,"0","S100a9"
"Cd300lf",0,3.275926166303,0.804,0.09,0,"0","Cd300lf"
"S100a8",0,3.27585568452137,1,0.346,0,"0","S100a8"
"Pilrb2",0,3.27344746113584,0.678,0.068,0,"0","Pilrb2"
"1810033B17Rik",0,3.24453403462903,0.932,0.116,0,"0","1810033B17Rik"
"Ccr1",0,3.14056723537157,0.703,0.077,0,"0","Ccr1"
"S100a6",0,3.13517088755042,0.913,0.419,0,"0","S100a6"
"Mapk13",0,3.10123724038108,0.601,0.07,0,"0","Mapk13"
"Rasgrp4",0,3.0638476272894,0.735,0.137,0,"0","Rasgrp4"
"Lcn2",0,3.05989660267343,0.962,0.2,0,"0","Lcn2"
"6430548M08Rik",0,3.02817767918988,0.711,0.076,0,"0","6430548M08Rik"
"Pilrb1",0,3.0052835609152,0.714,0.085,0,"0","Pilrb1"
"Gda",0,2.99010685384056,0.95,0.138,0,"0","Gda"
"Slfn1",0,2.94985041604623,0.794,0.077,0,"0","Slfn1"
"Pglyrp1",0,2.8911826433059,0.993,0.33,0,"0","Pglyrp1"
"St3gal5",0,2.88322928298499,0.695,0.124,0,"0","St3gal5"
"Actn1",0,2.85709924361234,0.817,0.144,0,"0","Actn1"
"Pram1",0,2.85072364824949,0.804,0.103,0,"0","Pram1"
"S100a11",0,2.81202215648458,1,0.828,0,"0","S100a11"
"Sepx1",0,2.80522717529521,0.965,0.288,0,"0","Sepx1"
"Trem3",0,2.76628739905945,0.848,0.09,0,"0","Trem3"
"Alox5",0,2.67391433220573,0.774,0.077,0,"0","Alox5"
"Anxa1",0,2.65804719068295,0.963,0.514,0,"0","Anxa1"
"Xdh",0,2.64986152953063,0.706,0.115,0,"0","Xdh"
"Syne1",0,2.62223341312153,0.845,0.18,0,"0","Syne1"
"Hp",0,2.62021020699219,0.982,0.159,0,"0","Hp"
"Itgam",0,2.61972237099375,0.95,0.221,0,"0","Itgam"
"Pygl",0,2.61280589317323,0.972,0.304,0,"0","Pygl"
"Ngp",0,2.58972414701373,0.882,0.239,0,"0","Ngp"
"Itgb2l",0,2.55289006476828,0.741,0.056,0,"0","Itgb2l"
"Cd177",0,2.54079814631635,0.892,0.127,0,"0","Cd177"
"Fam101b",0,2.52740467281657,0.866,0.138,0,"0","Fam101b"
"Camp",0,2.45675910497786,0.773,0.128,0,"0","Camp"
"Padi4",0,2.38548742632467,0.894,0.264,0,"0","Padi4"
"Fcgr3",0,2.37916764652102,0.838,0.177,0,"0","Fcgr3"
"Lilrb4",0,2.37116362779646,0.901,0.122,0,"0","Lilrb4"
"Clec4a2",0,2.2915019187546,0.806,0.114,0,"0","Clec4a2"
"Igsf6",0,2.17822512275046,0.828,0.149,0,"0","Igsf6"
"Gsr",0,2.17799816221043,0.991,0.395,0,"0","Gsr"
"Plbd1",0,2.17322818548949,0.909,0.167,0,"0","Plbd1"
"Lilrb3",0,2.15707401940133,0.909,0.196,0,"0","Lilrb3"
"Prdx5",0,2.13775480246519,0.979,0.71,0,"0","Prdx5"
"Fcer1g",0,2.03176394192913,0.996,0.446,0,"0","Fcer1g"
"4632428N05Rik",0,1.98329895535367,0.949,0.305,0,"0","4632428N05Rik"
"Fgr",0,1.92583252234071,0.836,0.176,0,"0","Fgr"
"Tyrobp",0,1.91955979931391,1,0.496,0,"0","Tyrobp"
"Alox5ap",0,1.89237371445545,0.991,0.515,0,"0","Alox5ap"
"Lyz2",0,1.85759702759355,0.991,0.623,0,"0","Lyz2"
"Lgals3",0,1.85341764690306,0.954,0.271,0,"0","Lgals3"
"Tmsb4x",0,1.20635402047368,1,0.999,0,"0","Tmsb4x"
"Adpgk",1.00142780459068e-306,2.37359375390336,0.848,0.275,2.3374326386951e-302,"0","Adpgk"
"Slc2a3",1.89449798704662e-304,2.7368247063992,0.8,0.202,4.42194775156552e-300,"0","Slc2a3"
"Plaur",1.23010004252611e-300,2.1892691006151,0.892,0.295,2.8711765092602e-296,"0","Plaur"
"B430306N03Rik",9.73182680294503e-300,2.57177079962155,0.635,0.093,2.2715056940754e-295,"0","B430306N03Rik"
"Ltf",1.06141070163985e-295,2.63196678057108,0.716,0.162,2.47743871869757e-291,"0","Ltf"
