"","x"
"1","monocyte"
"2","T cell"
"3","granulocytopoietic cell"
"4",NA
"5","granulocyte"
"6","erythroblast"
"7","hematopoietic precursor cell"
"8","proerythroblast"
"9","late pro-B cell"
"10","basophil"
"11","macrophage"
"12","early pro-B cell"
