FACS,Droplet10x,microwellSeq1,microwellSeq2,microwellSeq3,microwellSeq4,microwellSeq5,microwellSeq6,microwellSeq7
endothelial cell,kidney capillary endothelial cell,Endothelial cell,,,,,,
epithelial cell of proximal tubule,kidney proximal straight tubule epithelial cell,Intercalated cells of collecting duct_Aqp6 high,Intercalated cells of collecting duct_Slc26a4 high,Proximal tubule brush border cell,Proximal tubule cell_Cyp4a14 high,Proximal tubule cell_Osgin1 high,S1 proximal tubule cells,S3 proximal tubule cells
kidney collecting duct epithelial cell,kidney collecting duct epithelial cell,Distal collecting duct principal cell_Cldn4 high,Fenestrated endothelial cell_Plvap high,Fenestrated endothelial cell_Tm4sf1 high,,,,
macrophage,macrophage,Macrophage_Ccl4 high ,Macrophage_Lyz2 high,,,,,
