overlapGenesTissue1,overlapGenesTissue2,overlapGenesTissue3,overlapGenesTissue4,overlapGenesTissue5,overlapGenesTissue6,overlapGenesTissue7,overlapGenesTissue8,overlapGenesTissue9,overlapGenesTissue10,overlapGenesTissue11,overlapGenesTissue12,overlapGenesTissue13,overlapGenesTissue14,overlapGenesTissue15,overlapGenesTissue16,overlapGenesTissue17,overlapGenesTissue18,overlapGenesTissue19,overlapGenesTissue20,overlapGenesTissue21,overlapGenesTissue22,overlapGenesTissue23,overlapGenesTissue24,overlapGenesTissue25,overlapGenesTissue26,overlapGenesTissue27,overlapGenesTissue28,overlapGenesTissue29,overlapGenesTissue30,overlapGenesTissue31,overlapGenesTissue32,overlapGenesTissue33,overlapGenesTissue34,overlapGenesTissue35,overlapGenesTissue36
,Cell Ontology,FACS,Droplet10x,microwellSeq,FACS_10x,FACS_microwellSeq,microwellSeq_10x,FACS_10x_microwellSeq,,Cell Ontology,FACS,Droplet10x,microwellSeq,FACS_10x,FACS_microwellSeq,microwellSeq_10x,FACS_10x_microwellSeq,,Cell Ontology,FACS,Droplet10x,microwellSeq,FACS_10x,FACS_microwellSeq,microwellSeq_10x,FACS_10x_microwellSeq,,Cell Ontology,FACS,Droplet10x,microwellSeq,FACS_10x,FACS_microwellSeq,microwellSeq_10x,FACS_10x_microwellSeq
,endothelial cell,1110001J03Rik,1110002B05Rik,1700016C15Rik,0610010K14Rik,Bcap31,Aqp1,1110004F10Rik,,epithelial cell of proximal tubule,0610010O12Rik,1110028C15Rik,1110008P14Rik,0610011F06Rik,1810058I24Rik,2310039H08Rik,0610005C13Rik,,kidney collecting duct epithelial cell,0610010O12Rik,1500003O03Rik,1810011O10Rik,1110001J03Rik,Bhlhe40,1110008P14Rik,Actg1,,macrophage,1110037F02Rik,1810011H11Rik,Anxa2,1110003E01Rik,Actg1,AW112010,2410006H16Rik
,,2010106G01Rik,1110003E01Rik,Adgrg1,1110007C09Rik,Myl6,Capns1,1810037I17Rik,,,1810046J19Rik,1110038D17Rik,2200002D01Rik,0610012H03Rik,Acmsd,Abhd14a,4833439L19Rik,,,6330410L21Rik,1500016L03Rik,2010111I01Rik,1700011H14Rik,Bri3,Actn1,Aif1l,,,1700113A16Rik,5730494N06Rik,Arf4,1500012F01Rik,Atf4,Cd47,Actb
,,2310021P13Rik,1110038F14Rik,Agt,1190002H23Rik,Neat1,Gstp1,2010111I01Rik,,,2010107H07Rik,1700016C15Rik,2310009A05Rik,0910001L09Rik,Adh5,Acot1,4931406C07Rik,,,6720456B07Rik,1500032L24Rik,2410006H16Rik,2010107E04Rik,Cd24a,Anxa6,Aldoa,,,2210016F16Rik,6720456B07Rik,Arl1,1700025G04Rik,Bcl2l11,Rpl27,Actr3
,,2310046O06Rik,1200009I06Rik,Aif1l,1810011O10Rik,Rbpms,Hoxa7,4930523C07Rik,,,2300009A05Rik,1810014F10Rik,2410015M20Rik,1190007F08Rik,Aqp1,Acot12,Aadac,,,Acadl,1810037I17Rik,8430408G22Rik,2310016M24Rik,Eno1,Aplp2,Atp1b1,,,2400001E08Rik,Arl6ip5,Bin2,2810013P06Rik,Btf3,Rpl29,Aif1
,,2700089E24Rik,1500012F01Rik,Aimp1,1810063B07Rik,Rpl37a,Hoxb7,Adipor1,,,5430437P03Rik,1810035L17Rik,2610016A17Rik,1300001I01Rik,Atp6v1a,Acot4,Aadat,,,Acat1,1810043H04Rik,AU021092,2410015M20Rik,Gadd45g,Aqp1,Atp6v1f,,,2400003C14Rik,B3gnt8,Calm2,3110003A17Rik,Cd36,Rpl34,Alox5ap
,,2810403A07Rik,1700019E19Rik,Aktip,2210013O21Rik,Stk25,Sept4,App,,,Adi1,2310001A20Rik,5-Mar,1300010F03Rik,Atp6v1e1,Acy1,Aass,,,Agpat3,2210020M01Rik,AW112010,Abca13,Ly6a,Atf3,Bcam,,,2410001C21Rik,BC037034,Calr,4632428N05Rik,Cdkn1a,Rpl7,Anxa5
,,2900097C17Rik,1700025G04Rik,Alkbh6,2500003M10Rik,Timp3,Slc31a2,Atp1b3,,,Ahcyl1,4933403F05Rik,9030619P08Rik,1810027O10Rik,BC026585,Akr1e1,Abcd3,,,Ak3,2310067B10Rik,Actb,Acadsb,Rnf128,Blnk,Calb1,,,2510039O18Rik,Batf3,Card19,4930420K17Rik,Csf2rb,Rps26,Apobec1
,,4732418C07Rik,2410006H16Rik,Angpt2,2810025M15Rik,Tpm1,,Bcam,,,Aifm1,4933407C03Rik,AI314278,1810063B05Rik,Bnip3,Alad,Abcg2,,,Aldh1l1,2610017I09Rik,Actn4,Aco2,Ubc,Btg2,Cd82,,,2810428I15Rik,Bcl2,Chil3,4930506M07Rik,Emb,,Apoe
,,4921513D23Rik,2510006D16Rik,Apela,2810474O19Rik,Zfp207,,Btg2,,,Anapc13,9030617O03Rik,Aamdc,2210404O07Rik,Coq9,Arpp19,Abhd14b,,,Apoo,2900010M23Rik,Adamts1,Aes,,Calm2,Cd9,,,2810474O19Rik,Bin1,Clec4d,5430435G22Rik,Ifrd1,,Arhgdia
,,5133401N09Rik,2510012J08Rik,Atp1b1,2900064A13Rik,,,Cald1,,,Ank3,9530008L14Rik,Acadl,2610528J11Rik,Ctsh,Aup1,Acaa1b,,,Arhgap5,2900053A13Rik,Adgrf5,Aktip,,Cav2,Cdh1,,,3110001D03Rik,Cbx4,Clec4e,9030625A04Rik,Il2rg,,Arhgdib
,,5730403B10Rik,2700094K13Rik,Atp5g3,3230401D17Rik,,,Capn2,,,Arhgap24,AI317395,Aco2,2810407C02Rik,Dhrs1,Bhmt2,Acaa2,,,Atp5c1,2900097C17Rik,Adgrg1,Atp1a1,,Cdo1,Cdh16,,,3230401D17Rik,Cd79b,Clec4n,A130040M12Rik,Junb,,Arpc1b
,,9530082P21Rik,2810008M24Rik,Atp6v0e2,4931406P16Rik,,,Cd24a,,,Atp5j2,AI428936,Acot2,5033411D12Rik,Dlst,Blvra,Acadm,,,Atp5d,4930523C07Rik,Adgrl4,Atp5a1,,Cebpd,Cldn7,,,4921513D23Rik,Cdk2ap2,Cstb,A430084P05Rik,Lipa,,Arpc2
,,A130040M12Rik,3110099E03Rik,Atxn10,4933407C03Rik,,,Cebpd,,,Atp5o,Aatf,Acot7,5730469M10Rik,Gmpr,Calm3,Acnat2,,,Atp5f1,6430527G18Rik,Adh1,Atp5b,,Chka,Clu,,,4930414L22Rik,Cnp,Ctsd,AB124611,Map2k3,,Arpc3
,,Abcf1,4921524J17Rik,Bdh2,5031425E22Rik,,,Cmpk2,,,Bod1,Abcc2,Acox2,A2ld1,Grpel1,Car14,Acot13,,,Atp5j2,AI661453,Adm,Atp5e,,Cldn4,Ctsd,,,4933407H18Rik,Cox7a2l,Degs1,AF251705,Pgd,,Arpc5
,,Abcg1,6230427J02Rik,Bex3,6430527G18Rik,,,Ctbp2,,,Camk2n1,Abhd3,Actb,Abat,Hsph1,Car4,Acox1,,,Atp6v1d,Acsl3,Ahnak,Atp5g1,,Cnn3,Defb1,,,5031439G07Rik,D4Wsu53e,Dnajb1,AI413582,Pnrc1,,Arrb2
