overlapGenesTissue1,overlapGenesTissue2,overlapGenesTissue3,overlapGenesTissue4,overlapGenesTissue5,overlapGenesTissue6,overlapGenesTissue7,overlapGenesTissue8,overlapGenesTissue9,overlapGenesTissue10,overlapGenesTissue11,overlapGenesTissue12,overlapGenesTissue13,overlapGenesTissue14,overlapGenesTissue15,overlapGenesTissue16,overlapGenesTissue17,overlapGenesTissue18,overlapGenesTissue19,overlapGenesTissue20,overlapGenesTissue21,overlapGenesTissue22,overlapGenesTissue23,overlapGenesTissue24,overlapGenesTissue25,overlapGenesTissue26,overlapGenesTissue27
,Cell Ontology,FACS,Droplet10x,microwellSeq,FACS_10x,FACS_microwellSeq,microwellSeq_10x,FACS_10x_microwellSeq,,Cell Ontology,FACS,Droplet10x,microwellSeq,FACS_10x,FACS_microwellSeq,microwellSeq_10x,FACS_10x_microwellSeq,,Cell Ontology,FACS,Droplet10x,microwellSeq,FACS_10x,FACS_microwellSeq,microwellSeq_10x,FACS_10x_microwellSeq
,B cell,1500012F01Rik,1110059E24Rik,Fcmr,1110003E01Rik,Arhgap17,,Aldh2,,T cell,1110002B05Rik,Ccdc85b,Gm10073,1190002H23Rik,AI467606,,Actn1,,macrophage,0610007L01Rik,1500032L24Rik,AB124611,1110008F13Rik,AW112010,Abcg3,Apbb1ip
,,1700021K19Rik,5033414D02Rik,Ighd,1300014I06Rik,Ebf1,,Apobec3,,,2010016I18Rik,Ccl5,Gm10275,2810474O19Rik,,,Atp1b3,,,0610031J06Rik,1600010M07Rik,Aatf,4632428N05Rik,Akt1,Abhd12,Ctsd
,,5031414D18Rik,Asnsd1,Ighm,2010001M09Rik,H2-DMb2,,Arpc5l,,,3110003A17Rik,Ets1,Gm11361,4632428N05Rik,,,B4galnt1,,,1110002B05Rik,1810027O10Rik,Abcc3,Acot7,As3mt,Adipor1,Cyba
,,A530032D15Rik,Gimap1,Igkc,4930420K17Rik,Tnfrsf13b,,Bank1,,,4932438A13Rik,Prkca,Gm13588,A130040M12Rik,,,Ccnd2,,,1110007C09Rik,1810033B17Rik,Acer3,Ahnak,Cd82,Aif1,Fcer1g
,,A630001G21Rik,Hspa5,Iglc1,4930523C07Rik,,,Bin1,,,5133401N09Rik,Smad7,Gm14586,AW112010,,,Ccr7,,,1700020I14Rik,2400001E08Rik,Acp2,Anxa1,Comt,Apoe,Fcgr3
,,Abi3,Lbh,Iglc2,Arhgap25,,,Blnk,,,A930005H10Rik,,Gm3788,Abhd8,,,Cd247,,,1700025G04Rik,2900053A13Rik,Actn1,Anxa2,Golm1,Asah1,Hpcal1
,,Adrb2,Pdia6,Iglc3,BC017643,,,Capg,,,Aak1,,Gm6204,Ablim1,,,Cd27,,,2010012O05Rik,4930506M07Rik,Adamdec1,Arpc2,Gpr65,Asb2,Id2
,,Aff3,Ptprcap,Iglv1,Baz1a,,,Cd19,,,Abcf1,,Gm6863,Aes,,,Cd3d,,,2510006D16Rik,6720456B07Rik,Adgre1,B2m,Lgals3bp,Atox1,Itgb2
,,Aff4,Smap2,Mzb1,Bcl10,,,Cd22,,,Acaa2,,H2-Q7,Anxa6,,,Cd3e,,,2510039O18Rik,AF251705,Adgre4,Capzb,Pld3,BC035044,Itm2b
,,Ankle2,Tubb4b,RP24-338A5.4,Bcl11a,,,Cd24a,,,Acat1,,Rpl3-ps1,Arf5,,,Cd3g,,,3110003A17Rik,Abi3,Adrb1,Ccnd3,Reep5,Bcl2a1a,Itm2c
,,Apoe,Xist,Smim14,Blk,,,Cd37,,,Adcy7,,Rps15a-ps7,Arhgap9,,,Cd8a,,,4831426I19Rik,Actb,Aldh2,Cd244,Rgs1,Cd300a,Laptm5
,,Arap1,,,Blvrb,,,Cd55,,,Adh5,,Rps16-ps2,Arl4c,,,Cd8b1,,,4930453N24Rik,Actg1,Amfr,Cd44,Serpinb6a,Cd302,Nptn
,,Arf6,,,Bmyc,,,Cd72,,,Adsl,,Rps6-ps3,Arl6ip5,,,Ctsw,,,5730494N06Rik,Adrbk2,Apoc1,Cd7,Tmem37,Cd68,Ptms
