"","x"
"1","natural killer cell"
"2","kidney capillary endothelial cell"
"3","mesangial cell"
"4","kidney cell"
"5","kidney collecting duct epithelial cell"
"6","kidney proximal straight tubule epithelial cell"
"7","kidney loop of Henle ascending limb epithelial cell"
"8","macrophage"
