FACS,Droplet10x,microwellSeq1,microwellSeq2
hematopoietic precursor cell,hematopoietic precursor cell,Hematopoietic stem progenitor cell,
macrophage,macrophage,Macrophage_Ms4a6c high,Macrophage_S100a4 high
pro-B cell,early pro-B cell,Pre-pro B cell,
