"","x"
"1","stromal cell"
"2","lung endothelial cell"
"3","myeloid cell"
"4",NA
"5","monocyte"
"6","classical monocyte"
"7","B cell"
"8","T cell"
"9","natural killer cell"
"10","epithelial cell of lung"
"11","ciliated columnar cell of tracheobronchial tree"
"12","leukocyte"
