p_val,avg_logFC,pct.1,pct.2,cluster,gene,,celltyppe
7.34E-25,0.289449672,0.681,0.551,1,Calm1,,
3.54E-14,0.289122623,0.352,0.247,1,Ltb4r1,,
5.62E-11,0.285239015,0.315,0.231,1,Rgs19,,
4.62E-28,0.285228431,0.641,0.478,1,Pglyrp1,,
1.76E-13,0.279277317,0.543,0.449,1,Emp3,,
2.01E-10,0.27398448,0.375,0.291,1,Lamtor4,,
0.002310631,0.269904718,0.183,0.154,1,Ak2,,
3.27E-06,0.269792724,0.323,0.27,1,Ndufv3,,
1.35E-05,0.268552525,0.287,0.24,1,H2afv,,
4.60E-15,0.268438161,0.518,0.412,1,Tagln2,,
4.49E-09,0.267984136,0.29,0.215,1,Lmo4,,
2.60E-10,0.265873243,0.279,0.2,1,1810058I24Rik,,
1.71E-12,0.26423653,0.331,0.236,1,Flna,,
6.98E-08,0.263564374,0.306,0.24,1,Capns1,,
3.86E-21,0.260883856,0.41,0.264,1,Chil1,,
1.50E-12,0.259522414,0.495,0.402,1,Tecr,,
0,1.732347672,0.64,0.141,2,Mmp8,,Neutrophil_Mmp8 high
3.87E-274,1.511478169,0.679,0.222,2,Ifitm6,,
4.95E-273,1.22236744,0.814,0.325,2,Ltf,,
3.30E-181,1.166495153,0.56,0.193,2,Mmp9,,
2.35E-277,1.144567396,0.86,0.356,2,Lcn2,,
1.29E-155,1.140476141,0.578,0.237,2,Ly6g,,
2.05E-95,1.050971887,0.317,0.102,2,AA467197,,
6.19E-187,1.00030461,0.793,0.393,2,Wfdc21,,
7.11E-73,0.987981221,0.26,0.086,2,Ceacam10,,
8.81E-80,0.9313231,0.306,0.105,2,Slfn4,,
5.56E-66,0.928526155,0.237,0.077,2,Fpr2,,
4.96E-182,0.918001757,0.826,0.492,2,Anxa1,,
1.52E-73,0.904462995,0.325,0.126,2,Plbd1,,
1.63E-232,0.892986536,0.924,0.451,2,S100a9,,
6.06E-155,0.889111289,0.778,0.436,2,I830127L07Rik,,
3.47E-117,0.867291894,0.661,0.362,2,Cd177,,
1.14E-76,0.859884749,0.407,0.178,2,S100a6,,
2.05E-101,0.85565495,0.414,0.147,2,Retnlg,,
1.07E-49,0.836962691,0.315,0.149,2,Adpgk,,
4.88E-86,0.831412886,0.508,0.252,2,Chil1,,
2.49E-61,0.827723062,0.291,0.116,2,G0s2,,
3.96E-98,0.820881656,0.611,0.336,2,Lrg1,,
1.45E-173,0.80930776,0.868,0.421,2,S100a8,,
3.33E-47,0.808897219,0.255,0.108,2,Itgb2l,,
3.05E-58,0.799643572,0.398,0.204,2,Capg,,
1.34E-45,0.799174433,0.297,0.141,2,Itgam,,
1.18E-182,0.788959918,0.898,0.404,2,Ngp,,
1.96E-49,0.78627044,0.275,0.118,2,Pirb,,
2.52E-62,0.785362777,0.469,0.256,2,Cd52,,
2.79E-37,0.779367332,0.238,0.109,2,Mrgpra2b,,
2.39E-47,0.77065177,0.166,0.051,2,Fpr1,,
2.15E-38,0.742172426,0.16,0.056,2,Padi4,,
6.33E-31,0.738137961,0.223,0.108,2,Hdc,,
2.49E-37,0.732517191,0.218,0.094,2,Mxd1,,
4.39E-32,0.719931259,0.283,0.154,2,Dhrs7,,
1.93E-35,0.712801109,0.194,0.08,2,Clec4e,,
4.05E-134,0.704612254,0.834,0.58,2,S100a11,,
4.58E-40,0.702210698,0.361,0.203,2,Degs1,,
3.70E-44,0.700294578,0.307,0.146,2,Lilr4b,,
2.18E-80,0.697242042,0.695,0.472,2,Pglyrp1,,
4.58E-54,0.696307825,0.516,0.323,2,Mcemp1,,
9.59E-97,0.682045283,0.701,0.42,2,Lgals3,,
1.04E-47,0.680439773,0.442,0.259,2,Prr13,,
6.70E-26,0.674038052,0.162,0.072,2,Gadd45a,,
8.58E-103,0.671274038,0.711,0.383,2,Lyz2,,
3.47E-50,0.666752481,0.491,0.304,2,Mgst1,,
1.25E-18,0.661643791,0.187,0.103,2,Actn1,,
2.10E-37,0.657896167,0.396,0.243,2,Pygl,,
2.19E-40,0.652006857,0.417,0.257,2,Vasp,,
5.80E-34,0.651817134,0.368,0.222,2,Itgb2,,
2.99E-77,0.649756923,0.693,0.459,2,Cybb,,
4.35E-21,0.639445607,0.16,0.078,2,Mapk13,,
2.57E-29,0.639114082,0.184,0.08,2,Cd33,,
1.71E-29,0.635928597,0.213,0.1,2,Slfn1,,
3.47E-79,0.625081195,0.687,0.464,2,Slpi,,
9.45E-25,0.624548185,0.211,0.109,2,Dgat1,,
2.41E-29,0.620587084,0.35,0.219,2,Mettl9,,
3.29E-29,0.61456671,0.413,0.288,2,Ostf1,,
5.84E-35,0.598860888,0.341,0.191,2,Lilrb4a,,
2.36E-25,0.597165193,0.155,0.067,2,Osm,,
4.92E-21,0.594919956,0.217,0.12,2,Pilra,,
1.59E-20,0.591483111,0.297,0.192,2,R3hdm4,,
1.46E-50,0.586586247,0.619,0.47,2,Aldh2,,
1.20E-19,0.586474814,0.152,0.074,2,Plaur,,
2.34E-28,0.579111768,0.409,0.278,2,Arrb2,,
1.11E-70,0.577361597,0.735,0.553,2,Prdx5,,
3.33E-26,0.57569598,0.402,0.278,2,Ncf1,,
1.01E-15,0.57434431,0.244,0.16,2,Ckap4,,
9.44E-20,0.559273871,0.237,0.14,2,Lasp1,,
1.86E-15,0.55922599,0.185,0.108,2,St3gal5,,
4.43E-94,0.557520664,0.861,0.693,2,Fcer1g,,
1.16E-38,0.554326246,0.547,0.398,2,mt-Rnr2,,
4.91E-22,0.552216061,0.289,0.177,2,Cd9,,
1.55E-11,0.544090073,0.173,0.11,2,Rab3d,,
1.94E-28,0.543924504,0.48,0.358,2,Lcp1,,
2.41E-16,0.539764413,0.156,0.083,2,Rasgrp4,,
7.33E-16,0.534881337,0.25,0.164,2,Pnkp,,
2.13E-18,0.521652387,0.167,0.086,2,Slc2a3,,
3.57E-26,0.517408295,0.328,0.199,2,Grina,,
2.35E-16,0.513768572,0.34,0.25,2,Ltb4r1,,
1.32E-25,0.497642823,0.474,0.354,2,Cnn2,,
3.08E-15,0.487522225,0.309,0.221,2,Ppp1r18,,
8.98E-17,0.481291614,0.316,0.22,2,Vsir,,
1.09E-11,0.475369779,0.209,0.14,2,Glrx,,
2.32E-11,0.474739687,0.248,0.177,2,Atxn10,,
6.46E-10,0.469727576,0.153,0.097,2,Glipr2,,
2.86E-09,0.460129378,0.154,0.1,2,Pilrb2,,
5.65E-09,0.456311823,0.225,0.164,2,Trem3,,
2.28E-37,0.45520828,0.629,0.5,2,Alox5ap,,
6.02E-12,0.45474623,0.294,0.218,2,Fcgr3,,
9.40E-37,0.451943794,0.656,0.526,2,Rac2,,
2.90E-10,0.444056105,0.293,0.227,2,G6pdx,,
2.09E-09,0.442928142,0.215,0.152,2,Gda,,
