overlapGenesTissue1,overlapGenesTissue2,overlapGenesTissue3,overlapGenesTissue4,overlapGenesTissue5,overlapGenesTissue6,overlapGenesTissue7,overlapGenesTissue8,overlapGenesTissue9,overlapGenesTissue10,overlapGenesTissue11,overlapGenesTissue12,overlapGenesTissue13,overlapGenesTissue14,overlapGenesTissue15,overlapGenesTissue16,overlapGenesTissue17,overlapGenesTissue18
,,Rnf125,,,,,,,,,,Hadhb,,,,,
,,Rnf181,,,,,,,,,,Hat1,,,,,
,,Rnh1,,,,,,,,,,Haus1,,,,,
,,Rp9,,,,,,,,,,Haus4,,,,,
,,Rpl11,,,,,,,,,,Hccs,,,,,
,,Rpl15,,,,,,,,,,Hes6,,,,,
,,Rpl34-ps1,,,,,,,,,,Hist1h1b,,,,,
,,Rplp0,,,,,,,,,,Hist1h2ae,,,,,
,,Rps11,,,,,,,,,,Hist1h4i,,,,,
,,Rtp4,,,,,,,,,,Hist3h2a,,,,,
,,S100a13,,,,,,,,,,Hmgn5,,,,,
,,Sat1,,,,,,,,,,Hmox2,,,,,
,,Sc5d,,,,,,,,,,Hnrnpc,,,,,
,,Scamp3,,,,,,,,,,Hnrnpd,,,,,
,,Scamp4,,,,,,,,,,Hnrnph2,,,,,
,,Sdf4,,,,,,,,,,Hnrnpr,,,,,
,,Serpina3g,,,,,,,,,,Hnrpll,,,,,
,,Serpinb9,,,,,,,,,,Hpcal1,,,,,
,,Set,,,,,,,,,,Hsbp1,,,,,
,,Sfxn1,,,,,,,,,,Hsd17b4,,,,,
,,Sgk1,,,,,,,,,,Hsdl2,,,,,
,,Sh2d2a,,,,,,,,,,Hsp90aa1,,,,,
,,Sidt1,,,,,,,,,,Hsp90ab1,,,,,
,,Sigirr,,,,,,,,,,Hspb11,,,,,
,,Slc2a1,,,,,,,,,,Hspd1,,,,,
,,Slc50a1,,,,,,,,,,Icam2,,,,,
,,Slfn1,,,,,,,,,,Ict1,,,,,
,,Slfn2,,,,,,,,,,Id3,,,,,
,,Smndc1,,,,,,,,,,Idh2,,,,,
,,Sod1,,,,,,,,,,Idh3g,,,,,
,,Sp110,,,,,,,,,,Ifngr1,,,,,
,,Spcs2,,,,,,,,,,Il17ra,,,,,
,,Spn,,,,,,,,,,Ilf2,,,,,
,,Spr,,,,,,,,,,Ilf3,,,,,
,,Spry2,,,,,,,,,,Ilkap,,,,,
,,Sra1,,,,,,,,,,Ilvbl,,,,,
,,Ssr1,,,,,,,,,,Ing4,,,,,
,,Stat1,,,,,,,,,,Ip6k2,,,,,
,,Stat4,,,,,,,,,,Itpa,,,,,
,,Stk10,,,,,,,,,,Katna1,,,,,
,,Stub1,,,,,,,,,,Khdrbs1,,,,,
,,Styk1,,,,,,,,,,Kif5b,,,,,
,,Taf11,,,,,,,,,,Klf10,,,,,
,,Tagap,,,,,,,,,,Leo1,,,,,
,,Tbrg1,,,,,,,,,,Lgals9,,,,,
,,Tbx21,,,,,,,,,,Lig4,,,,,
,,Tgtp1,,,,,,,,,,Lin7c,,,,,
,,Tgtp2,,,,,,,,,,Lman2l,,,,,
,,Tmed5,,,,,,,,,,Lrrc58,,,,,
,,Tmem128,,,,,,,,,,Lrrc59,,,,,
,,Tmem30a,,,,,,,,,,Lrwd1,,,,,
,,Tmem64,,,,,,,,,,Lsm14a,,,,,
,,Tmsb15l,,,,,,,,,,Lsm2,,,,,
,,Tmx2,,,,,,,,,,Lsm4,,,,,
,,Tnfrsf1b,,,,,,,,,,Lsm6,,,,,
,,Tnfsf10,,,,,,,,,,Lta4h,,,,,
,,Tomm5,,,,,,,,,,Luc7l2,,,,,
,,Tor1b,,,,,,,,,,Luc7l3,,,,,
,,Tpi1,,,,,,,,,,Ly6d,,,,,
,,Tprgl,,,,,,,,,,Lyrm2,,,,,
,,Traf1,,,,,,,,,,Lzic,,,,,
,,Trafd1,,,,,,,,,,Magoh,,,,,
,,Trf,,,,,,,,,,Map1lc3b,,,,,
,,Trim12c,,,,,,,,,,Mapk1,,,,,
,,Trim14,,,,,,,,,,Mapre1,,,,,
,,Trim30a,,,,,,,,,,Mbd3,,,,,
,,Trim34a,,,,,,,,,,Mbnl3,,,,,
,,Ttc33,,,,,,,,,,Mcm3,,,,,
,,Ttpal,,,,,,,,,,Mcm5,,,,,
,,Txnrd1,,,,,,,,,,Mcrs1,,,,,
,,Uba7,,,,,,,,,,Mdh2,,,,,
,,Ubl3,,,,,,,,,,Mdm2,,,,,
,,Ugp2,,,,,,,,,,Metap2,,,,,
,,Uimc1,,,,,,,,,,Mettl6,,,,,
,,Vamp5,,,,,,,,,,Minos1,,,,,
,,Vamp8,,,,,,,,,,Minpp1,,,,,
,,Vbp1,,,,,,,,,,Mlx,,,,,
,,Vkorc1,,,,,,,,,,Mnat1,,,,,
,,Vmp1,,,,,,,,,,Morf4l1,,,,,
,,Vps28,,,,,,,,,,Morf4l2,,,,,
,,Vps37b,,,,,,,,,,Mospd3,,,,,
,,Vti1b,,,,,,,,,,Mpdu1,,,,,
,,Wbp1,,,,,,,,,,Mpp1,,,,,
,,Wdr77,,,,,,,,,,Mrfap1,,,,,
,,Wrnip1,,,,,,,,,,Mrpl18,,,,,
,,Xaf1,,,,,,,,,,Mrpl20,,,,,
,,Yrdc,,,,,,,,,,Mrpl27,,,,,
,,Ywhab,,,,,,,,,,Mrpl35,,,,,
,,Zdhhc18,,,,,,,,,,Mrpl43,,,,,
,,Zfp120,,,,,,,,,,Mrpl49,,,,,
,,Zfp187,,,,,,,,,,Mrpl50,,,,,
,,Zfp945,,,,,,,,,,Mrpl51,,,,,
,,Zmynd8,,,,,,,,,,Mrps14,,,,,
,,Znrd1,,,,,,,,,,Mrps18c,,,,,
,,,,,,,,,,,,Mrps22,,,,,
,,,,,,,,,,,,Mrps23,,,,,
,,,,,,,,,,,,Mrps26,,,,,
,,,,,,,,,,,,Mta2,,,,,
,,,,,,,,,,,,Mta3,,,,,
,,,,,,,,,,,,Mtf2,,,,,
,,,,,,,,,,,,Myef2,,,,,
,,,,,,,,,,,,Myl12a,,,,,
,,,,,,,,,,,,Mylpf,,,,,
,,,,,,,,,,,,Naa38,,,,,
,,,,,,,,,,,,Naa50,,,,,
,,,,,,,,,,,,Nans,,,,,
,,,,,,,,,,,,Nap1l4,,,,,
,,,,,,,,,,,,Nasp,,,,,
,,,,,,,,,,,,Ncapd3,,,,,
,,,,,,,,,,,,Ncbp2,,,,,
,,,,,,,,,,,,Ncl,,,,,
,,,,,,,,,,,,Ncor1,,,,,
,,,,,,,,,,,,Ndufa11,,,,,
,,,,,,,,,,,,Ndufa12,,,,,
,,,,,,,,,,,,Ndufa5,,,,,
,,,,,,,,,,,,Ndufa8,,,,,
,,,,,,,,,,,,Ndufa9,,,,,
,,,,,,,,,,,,Ndufab1,,,,,
,,,,,,,,,,,,Ndufb11,,,,,
,,,,,,,,,,,,Ndufb6,,,,,
,,,,,,,,,,,,Ndufb8,,,,,
,,,,,,,,,,,,Ndufb9,,,,,
,,,,,,,,,,,,Ndufc1,,,,,
,,,,,,,,,,,,Ndufc2,,,,,
,,,,,,,,,,,,Ndufs2,,,,,
,,,,,,,,,,,,Ndufs3,,,,,
,,,,,,,,,,,,Ndufs4,,,,,
,,,,,,,,,,,,Ndufs6,,,,,
,,,,,,,,,,,,Ndufs8,,,,,
,,,,,,,,,,,,Ndufv1,,,,,
,,,,,,,,,,,,Ndufv2,,,,,
,,,,,,,,,,,,Ndufv3,,,,,
,,,,,,,,,,,,Ngfrap1,,,,,
,,,,,,,,,,,,Nhp2l1,,,,,
,,,,,,,,,,,,Nipbl,,,,,
,,,,,,,,,,,,Nkap,,,,,
,,,,,,,,,,,,Nol7,,,,,
,,,,,,,,,,,,Nop56,,,,,
,,,,,,,,,,,,Npepps,,,,,
,,,,,,,,,,,,Nras,,,,,
,,,,,,,,,,,,Nrf1,,,,,
,,,,,,,,,,,,Nsmce1,,,,,
,,,,,,,,,,,,Nsmce2,,,,,
,,,,,,,,,,,,Ntan1,,,,,
,,,,,,,,,,,,Nudcd2,,,,,
,,,,,,,,,,,,Nudt1,,,,,
,,,,,,,,,,,,Nudt21,,,,,
,,,,,,,,,,,,Nup37,,,,,
,,,,,,,,,,,,Nxt1,,,,,
,,,,,,,,,,,,Oaz2,,,,,
,,,,,,,,,,,,Osbpl9,,,,,
,,,,,,,,,,,,Ostm1,,,,,
,,,,,,,,,,,,Pa2g4,,,,,
,,,,,,,,,,,,Pabpn1,,,,,
,,,,,,,,,,,,Pafah1b1,,,,,
,,,,,,,,,,,,Park7,,,,,
,,,,,,,,,,,,Pbrm1,,,,,
,,,,,,,,,,,,Pcbp1,,,,,
,,,,,,,,,,,,Pcbp2,,,,,
,,,,,,,,,,,,Pdap1,,,,,
,,,,,,,,,,,,Pdcd5,,,,,
,,,,,,,,,,,,Pdha1,,,,,
,,,,,,,,,,,,Pgk1,,,,,
,,,,,,,,,,,,Phf20l1,,,,,
,,,,,,,,,,,,Phf5a,,,,,
,,,,,,,,,,,,Phgdh,,,,,
,,,,,,,,,,,,Phpt1,,,,,
,,,,,,,,,,,,Pigx,,,,,
,,,,,,,,,,,,Pkm2,,,,,
,,,,,,,,,,,,Pla2g12a,,,,,
,,,,,,,,,,,,Plekhf2,,,,,
,,,,,,,,,,,,Plscr3,,,,,
,,,,,,,,,,,,Pnn,,,,,
,,,,,,,,,,,,Polr2c,,,,,
,,,,,,,,,,,,Polr2d,,,,,
,,,,,,,,,,,,Polr2g,,,,,
,,,,,,,,,,,,Polr2j,,,,,
,,,,,,,,,,,,Polr2k,,,,,
,,,,,,,,,,,,Polr3k,,,,,
,,,,,,,,,,,,Ppid,,,,,
,,,,,,,,,,,,Ppig,,,,,
,,,,,,,,,,,,Ppih,,,,,
,,,,,,,,,,,,Ppm1g,,,,,
,,,,,,,,,,,,Ppp1ca,,,,,
,,,,,,,,,,,,Ppp1cb,,,,,
,,,,,,,,,,,,Ppp1cc,,,,,
,,,,,,,,,,,,Ppp1r14b,,,,,
,,,,,,,,,,,,Ppp1r35,,,,,
,,,,,,,,,,,,Ppp6c,,,,,
,,,,,,,,,,,,Ppt2,,,,,
,,,,,,,,,,,,Prdx2,,,,,
,,,,,,,,,,,,Prelid1,,,,,
,,,,,,,,,,,,Prep,,,,,
,,,,,,,,,,,,Prim1,,,,,
,,,,,,,,,,,,Prkcsh,,,,,
,,,,,,,,,,,,Prmt1,,,,,
,,,,,,,,,,,,Prpf38a,,,,,
,,,,,,,,,,,,Prpf38b,,,,,
,,,,,,,,,,,,Prpf40a,,,,,
,,,,,,,,,,,,Psma1,,,,,
,,,,,,,,,,,,Psma2,,,,,
,,,,,,,,,,,,Psma3,,,,,
,,,,,,,,,,,,Psma4,,,,,
,,,,,,,,,,,,Psma5,,,,,
,,,,,,,,,,,,Psmb3,,,,,
,,,,,,,,,,,,Psmb5,,,,,
,,,,,,,,,,,,Psmb6,,,,,
,,,,,,,,,,,,Psmb7,,,,,
,,,,,,,,,,,,Psmc1,,,,,
,,,,,,,,,,,,Psmc3,,,,,
,,,,,,,,,,,,Psmc4,,,,,
,,,,,,,,,,,,Psmc6,,,,,
,,,,,,,,,,,,Psmd12,,,,,
,,,,,,,,,,,,Psmd13,,,,,
,,,,,,,,,,,,Psmd14,,,,,
,,,,,,,,,,,,Psmd2,,,,,
,,,,,,,,,,,,Psmd3,,,,,
,,,,,,,,,,,,Psmd4,,,,,
,,,,,,,,,,,,Psmd6,,,,,
,,,,,,,,,,,,Psmd7,,,,,
,,,,,,,,,,,,Psmd8,,,,,
,,,,,,,,,,,,Psmg1,,,,,
,,,,,,,,,,,,Ptbp1,,,,,
,,,,,,,,,,,,Ptcra,,,,,
,,,,,,,,,,,,Pten,,,,,
,,,,,,,,,,,,Ptms,,,,,
,,,,,,,,,,,,Ptov1,,,,,
,,,,,,,,,,,,Ptpn7,,,,,
,,,,,,,,,,,,Ptpra,,,,,
,,,,,,,,,,,,Puf60,,,,,
,,,,,,,,,,,,Qars,,,,,
,,,,,,,,,,,,Rab11b,,,,,
,,,,,,,,,,,,Rab2a,,,,,
,,,,,,,,,,,,Rab3ip,,,,,
,,,,,,,,,,,,Rab5a,,,,,
,,,,,,,,,,,,Rabgap1l,,,,,
,,,,,,,,,,,,Rad51,,,,,
,,,,,,,,,,,,Rae1,,,,,
,,,,,,,,,,,,Raf1,,,,,
,,,,,,,,,,,,Ranbp1,,,,,
,,,,,,,,,,,,Rap1a,,,,,
,,,,,,,,,,,,Rapgef3,,,,,
,,,,,,,,,,,,Rbbp6,,,,,
,,,,,,,,,,,,Rbm22,,,,,
,,,,,,,,,,,,Rbm25,,,,,
,,,,,,,,,,,,Rbm3,,,,,
,,,,,,,,,,,,Rbm39,,,,,
,,,,,,,,,,,,Rbm8a,,,,,
,,,,,,,,,,,,Rbmx,,,,,
,,,,,,,,,,,,Rbmxl1,,,,,
,,,,,,,,,,,,Rbx1,,,,,
,,,,,,,,,,,,Rcn2,,,,,
,,,,,,,,,,,,Rdx,,,,,
,,,,,,,,,,,,Reep4,,,,,
,,,,,,,,,,,,Rer1,,,,,
,,,,,,,,,,,,Rfc1,,,,,
,,,,,,,,,,,,Rfc4,,,,,
,,,,,,,,,,,,Rhoa,,,,,
,,,,,,,,,,,,Rnaseh2b,,,,,
,,,,,,,,,,,,Rnf2,,,,,
,,,,,,,,,,,,Rnf26,,,,,
,,,,,,,,,,,,Rnf34,,,,,
,,,,,,,,,,,,Rnf5,,,,,
,,,,,,,,,,,,Rnf7,,,,,
,,,,,,,,,,,,Rnps1,,,,,
,,,,,,,,,,,,Rock1,,,,,
,,,,,,,,,,,,Rpa1,,,,,
,,,,,,,,,,,,Rpa2,,,,,
,,,,,,,,,,,,Rpf1,,,,,
,,,,,,,,,,,,Rrp1,,,,,
,,,,,,,,,,,,Rsbn1,,,,,
,,,,,,,,,,,,Rsrc2,,,,,
,,,,,,,,,,,,Rtf1,,,,,
,,,,,,,,,,,,Runx1,,,,,
,,,,,,,,,,,,Sae1,,,,,
,,,,,,,,,,,,Sarnp,,,,,
,,,,,,,,,,,,Sart1,,,,,
,,,,,,,,,,,,Scarb2,,,,,
,,,,,,,,,,,,Sdccag3,,,,,
,,,,,,,,,,,,Sdhb,,,,,
,,,,,,,,,,,,Sec11a,,,,,
,,,,,,,,,,,,Sec13,,,,,
,,,,,,,,,,,,Sec22b,,,,,
,,,,,,,,,,,,Sec62,,,,,
,,,,,,,,,,,,Senp6,,,,,
,,,,,,,,,,,,Sept7,,,,,
,,,,,,,,,,,,Serbp1,,,,,
,,,,,,,,,,,,Sf1,,,,,
,,,,,,,,,,,,Sf3a3,,,,,
,,,,,,,,,,,,Sf3b1,,,,,
,,,,,,,,,,,,Sf3b2,,,,,
,,,,,,,,,,,,Sfpq,,,,,
,,,,,,,,,,,,Sgol1,,,,,
,,,,,,,,,,,,Sgta,,,,,
,,,,,,,,,,,,Sh3gl1,,,,,
,,,,,,,,,,,,Shfm1,,,,,
,,,,,,,,,,,,Slc16a1,,,,,
,,,,,,,,,,,,Slc25a17,,,,,
,,,,,,,,,,,,Slc25a4,,,,,
,,,,,,,,,,,,Slc29a1,,,,,
,,,,,,,,,,,,Slc38a2,,,,,
,,,,,,,,,,,,Slc43a2,,,,,
,,,,,,,,,,,,Slc9a3r1,,,,,
,,,,,,,,,,,,Slmo2,,,,,
,,,,,,,,,,,,Smarca5,,,,,
,,,,,,,,,,,,Smarcb1,,,,,
,,,,,,,,,,,,Smarce1,,,,,
,,,,,,,,,,,,Smc3,,,,,
,,,,,,,,,,,,Smu1,,,,,
,,,,,,,,,,,,Snhg1,,,,,
,,,,,,,,,,,,Snhg6,,,,,
,,,,,,,,,,,,Snrnp27,,,,,
,,,,,,,,,,,,Snrnp40,,,,,
,,,,,,,,,,,,Snrnp70,,,,,
,,,,,,,,,,,,Snrpa,,,,,
,,,,,,,,,,,,Snrpa1,,,,,
,,,,,,,,,,,,Snrpb,,,,,
,,,,,,,,,,,,Snrpb2,,,,,
,,,,,,,,,,,,Snrpc,,,,,
,,,,,,,,,,,,Snrpd1,,,,,
,,,,,,,,,,,,Snrpd3,,,,,
,,,,,,,,,,,,Snrpe,,,,,
,,,,,,,,,,,,Snrpf,,,,,
,,,,,,,,,,,,Snw1,,,,,
,,,,,,,,,,,,Son,,,,,
,,,,,,,,,,,,Sp3,,,,,
,,,,,,,,,,,,Spcs1,,,,,
,,,,,,,,,,,,Spcs2,,,,,
,,,,,,,,,,,,Srek1,,,,,
,,,,,,,,,,,,Srp14,,,,,
,,,,,,,,,,,,Srp19,,,,,
,,,,,,,,,,,,Srp9,,,,,
,,,,,,,,,,,,Srrm1,,,,,
,,,,,,,,,,,,Srrt,,,,,
,,,,,,,,,,,,Srsf10,,,,,
,,,,,,,,,,,,Srsf11,,,,,
,,,,,,,,,,,,Srsf2,,,,,
,,,,,,,,,,,,Srsf3,,,,,
,,,,,,,,,,,,Srsf4,,,,,
,,,,,,,,,,,,Srsf6,,,,,
,,,,,,,,,,,,Srsf7,,,,,
,,,,,,,,,,,,Ssb,,,,,
,,,,,,,,,,,,Ssna1,,,,,
,,,,,,,,,,,,Ssr2,,,,,
,,,,,,,,,,,,Ssrp1,,,,,
,,,,,,,,,,,,St13,,,,,
,,,,,,,,,,,,Stip1,,,,,
,,,,,,,,,,,,Strap,,,,,
,,,,,,,,,,,,Sub1,,,,,
,,,,,,,,,,,,Sumo2,,,,,
,,,,,,,,,,,,Supt16h,,,,,
,,,,,,,,,,,,Swi5,,,,,
,,,,,,,,,,,,Syt13,,,,,
,,,,,,,,,,,,Sytl3,,,,,
,,,,,,,,,,,,Taf9,,,,,
,,,,,,,,,,,,Taldo1,,,,,
,,,,,,,,,,,,Tap2,,,,,
,,,,,,,,,,,,Tardbp,,,,,
,,,,,,,,,,,,Tax1bp1,,,,,
,,,,,,,,,,,,Tax1bp3,,,,,
,,,,,,,,,,,,Tbl1x,,,,,
,,,,,,,,,,,,Tceb1,,,,,
,,,,,,,,,,,,Tceb2,,,,,
,,,,,,,,,,,,Tcf3,,,,,
,,,,,,,,,,,,Tcof1,,,,,
,,,,,,,,,,,,Tcp1,,,,,
,,,,,,,,,,,,Tex261,,,,,
,,,,,,,,,,,,Thoc2,,,,,
,,,,,,,,,,,,Thoc3,,,,,
,,,,,,,,,,,,Thoc7,,,,,
,,,,,,,,,,,,Thrap3,,,,,
,,,,,,,,,,,,Timm17b,,,,,
,,,,,,,,,,,,Timm23,,,,,
,,,,,,,,,,,,Timm8b,,,,,
,,,,,,,,,,,,Tmem111,,,,,
,,,,,,,,,,,,Tmem208,,,,,
,,,,,,,,,,,,Tmem85,,,,,
,,,,,,,,,,,,Tomm20,,,,,
,,,,,,,,,,,,Tor2a,,,,,
,,,,,,,,,,,,Tpm3,,,,,
,,,,,,,,,,,,Tra2b,,,,,
,,,,,,,,,,,,Traf4,,,,,
,,,,,,,,,,,,Trim27,,,,,
,,,,,,,,,,,,Trp53i11,,,,,
,,,,,,,,,,,,Tsn,,,,,
,,,,,,,,,,,,Tsnax,,,,,
,,,,,,,,,,,,Tspan13,,,,,
,,,,,,,,,,,,Tssc4,,,,,
,,,,,,,,,,,,Ttc4,,,,,
,,,,,,,,,,,,Tuba1a,,,,,
,,,,,,,,,,,,Tubb2a,,,,,
,,,,,,,,,,,,Tubb2b,,,,,
,,,,,,,,,,,,Tubg1,,,,,
,,,,,,,,,,,,Txn1,,,,,
,,,,,,,,,,,,Txnl1,,,,,
,,,,,,,,,,,,U2af1,,,,,
,,,,,,,,,,,,U2af1l4,,,,,
,,,,,,,,,,,,U2af2,,,,,
,,,,,,,,,,,,Uba2,,,,,
,,,,,,,,,,,,Ube2b,,,,,
,,,,,,,,,,,,Ube2d2,,,,,
,,,,,,,,,,,,Ube2e1,,,,,
,,,,,,,,,,,,Ube2e3,,,,,
,,,,,,,,,,,,Ube2g1,,,,,
,,,,,,,,,,,,Ube2k,,,,,
,,,,,,,,,,,,Ube2l3,,,,,
,,,,,,,,,,,,Ube2n,,,,,
,,,,,,,,,,,,Ube2v2,,,,,
,,,,,,,,,,,,Ubqln1,,,,,
,,,,,,,,,,,,Ubxn4,,,,,
,,,,,,,,,,,,Uchl5,,,,,
,,,,,,,,,,,,Uhrf1,,,,,
,,,,,,,,,,,,Upf3b,,,,,
,,,,,,,,,,,,Uqcr10,,,,,
,,,,,,,,,,,,Uqcrc1,,,,,
,,,,,,,,,,,,Uqcrc2,,,,,
,,,,,,,,,,,,Uqcrfs1,,,,,
,,,,,,,,,,,,Uqcrh,,,,,
,,,,,,,,,,,,Urod,,,,,
,,,,,,,,,,,,Usmg5,,,,,
,,,,,,,,,,,,Usp3,,,,,
,,,,,,,,,,,,Utp11l,,,,,
,,,,,,,,,,,,Vapa,,,,,
,,,,,,,,,,,,Vav1,,,,,
,,,,,,,,,,,,Vcp,,,,,
,,,,,,,,,,,,Vdac1,,,,,
,,,,,,,,,,,,Vdac3,,,,,
,,,,,,,,,,,,Vps4a,,,,,
,,,,,,,,,,,,Wbp11,,,,,
,,,,,,,,,,,,Wbp5,,,,,
,,,,,,,,,,,,Wdr33,,,,,
,,,,,,,,,,,,Wdr76,,,,,
,,,,,,,,,,,,Whsc1,,,,,
,,,,,,,,,,,,Whsc2,,,,,
,,,,,,,,,,,,Xist,,,,,
,,,,,,,,,,,,Yeats4,,,,,
,,,,,,,,,,,,Yipf4,,,,,
,,,,,,,,,,,,Ywhae,,,,,
,,,,,,,,,,,,Zcchc9,,,,,
,,,,,,,,,,,,Zdhhc20,,,,,
,,,,,,,,,,,,Zfp148,,,,,
,,,,,,,,,,,,Zfp280d,,,,,
