"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ctsl3",9.17062146777142e-137,0.553873789678322,0.954,0.589,2.14051475679253e-132,"4","Ctsl"
"Calu3",2.4413483400078e-136,0.563664309918997,0.772,0.326,5.69835116041222e-132,"4","Calu"
"Txn12",5.87144045636366e-136,0.648240512079443,0.952,0.669,1.37045291691984e-131,"4","Txn1"
"Myc3",7.18098949401949e-136,0.645820071143834,0.736,0.298,1.67611475779909e-131,"4","Myc"
"Nfix2",1.80313601558667e-135,0.443799870485978,0.462,0.113,4.20869977398084e-131,"4","Nfix"
"Creb5",2.52855007019867e-135,0.485653820174072,0.401,0.083,5.90188871885072e-131,"4","Creb5"
"Cryab4",6.89721848874127e-135,0.463610268162815,0.644,0.217,1.6098797674571e-130,"4","Cryab"
"Adamtsl1",3.34015537687408e-133,0.388491586179511,0.284,0.035,7.7962566651618e-129,"4","Adamtsl1"
"C1qtnf2",4.33793758495199e-133,0.417978922290204,0.312,0.046,1.01251801170364e-128,"4","C1qtnf2"
"Fkbp93",1.52688252531982e-132,0.482019243940816,0.72,0.261,3.56389650234898e-128,"4","Fkbp9"
"Gas7",2.73853291538638e-132,0.650569124809962,0.359,0.067,6.39200967780336e-128,"4","Gas7"
"Pdlim2",2.03126804367108e-131,0.464962759872503,0.42,0.096,4.74118274073268e-127,"4","Pdlim2"
"Steap41",4.20451654724822e-131,0.299558489061533,0.419,0.091,9.81376207293208e-127,"4","Steap4"
"Ppap2b3",8.18677605852525e-131,0.677606133811898,0.874,0.439,1.91087539982038e-126,"4","Ppap2b"
"Sntb22",1.79861108258573e-130,0.521890173147497,0.666,0.239,4.19813812786336e-126,"4","Sntb2"
"Leprel23",1.04281442545967e-129,0.408372196508121,0.514,0.137,2.43403315046541e-125,"4","Leprel2"
"Il33",3.13102638879741e-129,0.694575324973163,0.294,0.041,7.30812869409203e-125,"4","Il33"
"Tmod2",3.75687335831764e-129,0.345536173469264,0.296,0.04,8.76891810564921e-125,"4","Tmod2"
"Prrx2",4.33971124721423e-129,0.429043606104359,0.327,0.055,1.01293200221227e-124,"4","Prrx2"
"Fcgrt2",6.52574337813613e-129,0.484094487499056,0.856,0.402,1.52317376189075e-124,"4","Fcgrt"
"Sgce3",1.41477495812493e-128,0.455021398490961,0.54,0.16,3.30222622975939e-124,"4","Sgce"
"Col4a13",7.72627705857828e-128,0.637193932808623,0.766,0.338,1.80339032824276e-123,"4","Col4a1"
"Pam3",2.93529175841476e-127,0.51629792155767,0.612,0.205,6.8512644933159e-123,"4","Pam"
"Rhoq1",4.80413881872654e-127,0.505955723984954,0.438,0.11,1.12133404167896e-122,"4","Rhoq"
"Cmklr1",1.77977029369617e-126,0.377664630835367,0.255,0.027,4.15416184251622e-122,"4","Cmklr1"
"Igfbp52",6.91008007947728e-126,1.21908544995964,0.466,0.136,1.61288179135079e-121,"4","Igfbp5"
"Tmem159",1.21076670029702e-124,0.397120303853516,0.443,0.111,2.82605055516327e-120,"4","Tmem159"
"Lsp13",2.60160699617306e-124,0.497680409208526,0.727,0.294,6.07241088976754e-120,"4","Lsp1"
"Tuba1a3",4.89219511740468e-124,0.553847019049235,0.94,0.603,1.14188726235343e-119,"4","Tuba1a"
"Nav13",4.26461756118439e-123,0.44703226211804,0.507,0.148,9.95404384956048e-119,"4","Nav1"
