overlapGenesTissue1,overlapGenesTissue2,overlapGenesTissue3,overlapGenesTissue4,overlapGenesTissue5,overlapGenesTissue6,overlapGenesTissue7,overlapGenesTissue8,overlapGenesTissue9,overlapGenesTissue10,overlapGenesTissue11,overlapGenesTissue12,overlapGenesTissue13,overlapGenesTissue14,overlapGenesTissue15,overlapGenesTissue16,overlapGenesTissue17,overlapGenesTissue18
,Cell Ontology,FACS,Droplet10x,microwellSeq,FACS_10x,FACS_microwellSeq,microwellSeq_10x,FACS_10x_microwellSeq,,Cell Ontology,FACS,Droplet10x,microwellSeq,FACS_10x,FACS_microwellSeq,microwellSeq_10x,FACS_10x_microwellSeq
,bladder cell,0610007P08Rik,9130011J15Rik,Ackr3,0610007C21Rik,Abca8a,App,3632451O06Rik,,bladder urothelial cell,0610007P14Rik,Cltc,1700027J19Rik,0610009D07Rik,Acer2,,1110008P14Rik
,,0610009O20Rik,A130040M12Rik,Adamdec1,0610007N19Rik,Adamts10,F3,AW112010,,,0610007P22Rik,D14Ertd449e,9530034E10Rik,0610040J01Rik,Akr1b3,,1810037I17Rik
,,1110018J18Rik,Abhd16a,Adgrd1,0610037L13Rik,Adamtsl5,Hoxa10,Abhd14a,,,0610009L18Rik,Hnrnpa0,Adh1,1110003E01Rik,Ap1m2,,2010107E04Rik
,,1110028C15Rik,Akr1a1,Ahr,1110002B05Rik,Adcy7,Myl12a,Abi3bp,,,0610010O12Rik,Plxnb2,Adtrp,1110008F13Rik,Arl6ip1,,2200002D01Rik
,,1110038B12Rik,Anxa1,Aldh1a1,1110065P20Rik,Ahnak,Nampt,Acadsb,,,0610011F06Rik,Polr2l,Coa3,1110017F19Rik,Atp5c1,,2410015M20Rik
,,1110050K14Rik,Ap2m1,B3gnt9,1500012F01Rik,Apod,Plat,Actg2,,,0610011L14Rik,Rpl31-ps12,Cops9,1110032A04Rik,Bola3,,8430408G22Rik
,,1110051M20Rik,Arf1,Basp1,1500032L24Rik,Arl1,Prkar1a,Actn1,,,0610030E20Rik,Vegfa,Cyb5a,1190003J15Rik,Capn13,,Abcd3
,,1110057K04Rik,Arl6ip5,Bglap2,1700019E19Rik,B4galt1,Ptgs1,Adam23,,,1110001A16Rik,,Cystm1,1300001I01Rik,Cblc,,Abhd12
,,1190002H23Rik,Atp6ap2,Bmp7,1810006K21Rik,C3,Slc3a2,Adamts2,,,1110004E09Rik,,Fam207a,1500003O03Rik,Cib1,,Acaa1b
,,1190002N15Rik,Azin1,Bzw2,1810027O10Rik,Cbx6,Sqrdl,Add3,,,1110004F10Rik,,Gm16136,1600029D21Rik,Clu,,Acadl
,,1300014I06Rik,Brd2,C1qtnf3,1810055G02Rik,Cdc42ep2,Tram1,Adk,,,1110008L16Rik,,Gm9843,1810008A18Rik,Cox7b,,Acox1
