FACS,Droplet10x,microwellSeq1,microwellSeq2,microwellSeq3
bladder cell,bladder cell,Mesenchymal stromal cell,Stromal cell_Car3 high,Stromal cell_Dpt high
bladder urothelial cell,bladder urothelial cell,Urothelium,,
