Tissue,Platform,Gene,Notes
Aorta,Plate,Acta1,
Aorta,Plate,Acta2,
Aorta,Plate,Aqp7,
Aorta,Plate,Cav1,
Aorta,Plate,Cd14,
Aorta,Plate,Cd19,
Aorta,Plate,Cd3e,
Aorta,Plate,Cd86,
Aorta,Plate,Cdh5,
Aorta,Plate,Col1a1,
Aorta,Plate,Col3a1,
Aorta,Plate,Dcn,
Aorta,Plate,Ddr2,
Aorta,Plate,Ehd3,
Aorta,Plate,Eln,
Aorta,Plate,Esm1,
Aorta,Plate,Fabp4,
Aorta,Plate,Fn1,
Aorta,Plate,H2-Aa,
Aorta,Plate,H2-Ab1,
Aorta,Plate,Hbb1,
Aorta,Plate,Hbb-b1,
Aorta,Plate,Hla-drb1,
Aorta,Plate,Icam1,
Aorta,Plate,Kdr,
Aorta,Plate,Pecam1,
Aorta,Plate,Ptprc,
Aorta,Plate,Selplg,
Aorta,Plate,Tagln,
Aorta,Plate,Tek,
Aorta,Plate,Vim,
Aorta,Plate,Vwf,
Bladder,10X,Cd14,
Bladder,10X,Col1a1,
Bladder,10X,Col8a1,
Bladder,10X,Dcn,
Bladder,10X,Epcam,
Bladder,10X,Grhl3,
Bladder,10X,Krt14,
Bladder,10X,Krt5,
Bladder,10X,Pecam1,
Bladder,10X,Upk1b,
Bladder,10X,Upk3a,
Bladder,Plate,Col1a1,
Bladder,Plate,Col8a1,
Bladder,Plate,Dcn,
Bladder,Plate,Epcam,
Bladder,Plate,Grhl3,
Bladder,Plate,Krt14,
Bladder,Plate,Krt5,
Bladder,Plate,Upk1b,
Bladder,Plate,Upk3a,
Brain_microglia,Plate,Cd163,
Brain_microglia,Plate,Cx3cr1,
Brain_microglia,Plate,H2-Aa,
Brain_microglia,Plate,H2-Eb1,
Brain_microglia,Plate,P2ry12,
Brain_microglia,Plate,Tmem119,
Brain_non_microglia,Plate,A2m,Astrocyte subclustering
Brain_non_microglia,Plate,Aldh1l1,
Brain_non_microglia,Plate,Aqp4,
Brain_non_microglia,Plate,Ascl1,
Brain_non_microglia,Plate,Bmx,BEC subclustering
Brain_non_microglia,Plate,Calb1,
Brain_non_microglia,Plate,Car4,BEC subclustering
Brain_non_microglia,Plate,Cldn5,
Brain_non_microglia,Plate,Csf1,BEC subclustering
Brain_non_microglia,Plate,Cspg4,
Brain_non_microglia,Plate,Dcx,
Brain_non_microglia,Plate,Des,
Brain_non_microglia,Plate,Dlx2,
Brain_non_microglia,Plate,Edn1,BEC subclustering
Brain_non_microglia,Plate,Efnb2,BEC subclustering
Brain_non_microglia,Plate,Eno2,
Brain_non_microglia,Plate,Flt4,BEC subclustering
Brain_non_microglia,Plate,Gad1,
Brain_non_microglia,Plate,Gdf10,Astrocyte subclustering
Brain_non_microglia,Plate,Gjc2,
Brain_non_microglia,Plate,Hes5,
Brain_non_microglia,Plate,Hey1,BEC subclustering
Brain_non_microglia,Plate,Hif1a,BEC subclustering
Brain_non_microglia,Plate,Icam1,BEC subclustering
Brain_non_microglia,Plate,Jag1,BEC subclustering
Brain_non_microglia,Plate,Lcn2,BEC subclustering
Brain_non_microglia,Plate,Ly6c1,
Brain_non_microglia,Plate,Mab21l1,
Brain_non_microglia,Plate,Mag,
Brain_non_microglia,Plate,Mcam,
Brain_non_microglia,Plate,Mog,
Brain_non_microglia,Plate,Naga,Astrocyte subclustering
Brain_non_microglia,Plate,Nbl1,Astrocyte subclustering
Brain_non_microglia,Plate,Neurod6,
Brain_non_microglia,Plate,Notch1,BEC subclustering
Brain_non_microglia,Plate,Nr2f2,BEC subclustering
Brain_non_microglia,Plate,Nsdhl,Astrocyte subclustering
Brain_non_microglia,Plate,Ocln,
Brain_non_microglia,Plate,Pdgfra,
Brain_non_microglia,Plate,Pdgfrb,
Brain_non_microglia,Plate,Pecam1,
Brain_non_microglia,Plate,Rbfox3,
Brain_non_microglia,Plate,Reln,
Brain_non_microglia,Plate,Slc16a1,BEC subclustering
Brain_non_microglia,Plate,Slc17a7,
Brain_non_microglia,Plate,Slc1a3,
Brain_non_microglia,Plate,Slco1c1,
Brain_non_microglia,Plate,Snap25,
Brain_non_microglia,Plate,St6galnac5,Astrocyte subclustering
Brain_non_microglia,Plate,Susd5,
Brain_non_microglia,Plate,Tfrc,BEC subclustering
Brain_non_microglia,Plate,Tmem100,BEC subclustering
Brain_non_microglia,Plate,Tnfaip2,Astrocyte subclustering
Brain_non_microglia,Plate,Vcam1,BEC subclustering
Brain_non_microglia,Plate,Vegfc,BEC subclustering
Brain_non_microglia,Plate,Vim,Astrocyte subclustering
Brain_non_microglia,Plate,Vwf,BEC subclustering
Colon,Plate,Atoh1,
Colon,Plate,Chga,
Colon,Plate,Chgb,
Colon,Plate,Dclk1,
Colon,Plate,Hoxb13,
Colon,Plate,Hoxb6,
Colon,Plate,Krt20,
Colon,Plate,Lgr5,
Colon,Plate,Mki67,
Colon,Plate,Slc26a3,
Colon,Plate,Spdef,
Diaphragm,Plate,C1qa,
Diaphragm,Plate,Calcr,
Diaphragm,Plate,Cd19,
Diaphragm,Plate,Cd34,
Diaphragm,Plate,Cd3d,
Diaphragm,Plate,Cd69,
Diaphragm,Plate,Cd79a,
Diaphragm,Plate,Cd79b,
Diaphragm,Plate,Cxcr4,
Diaphragm,Plate,Fcer1g,
