"","tSNE_1","tSNE_2"
"K1.MAA000550.3_10_M.1.1",26.1037707152616,-16.0691185626767
"J9.MAA000553.3_10_M.1.1",28.4496307535909,-14.8785305134228
"C11.MAA000553.3_10_M.1.1",26.6181291443506,-17.3132304622267
"K10.MAA000553.3_10_M.1.1",22.6651888284913,-9.83892223110281
"C12.MAA000553.3_10_M.1.1",34.5146390671758,-7.74301251859641
"K11.MAA000553.3_10_M.1.1",32.0729910940246,-11.2581266386927
"L11.MAA000553.3_10_M.1.1",38.5971297857829,-3.89770952193544
"M11.MAA000553.3_10_M.1.1",39.974264477399,-7.72762913782481
"C22.MAA000553.3_10_M.1.1",26.2477108745288,-17.7952785730215
"D9.MAA000553.3_10_M.1.1",21.0401951623878,-9.1983420804033
"D11.MAA000553.3_10_M.1.1",34.5363998585297,-10.3338798183863
"N10.MAA000553.3_10_M.1.1",27.334781820059,-15.8456095777222
"N11.MAA000553.3_10_M.1.1",27.6078840494662,-2.47487236120886
"F10.MAA000553.3_10_M.1.1",34.55373381618,-7.33494198181262
"O10.MAA000553.3_10_M.1.1",24.7805138361747,-9.79026680227189
"F11.MAA000553.3_10_M.1.1",33.5344333631295,-4.60082296185823
"O18.MAA000553.3_10_M.1.1",20.1534608464356,-9.16079202337314
"G10.MAA000553.3_10_M.1.1",29.8361368309659,-14.1899715061889
"G11.MAA000553.3_10_M.1.1",35.7209021984123,6.00683939817227
"P10.MAA000553.3_10_M.1.1",28.260122722556,-14.896556901906
"H16.MAA000553.3_10_M.1.1",40.5645388459553,2.5230209499554
"B10.MAA000553.3_10_M.1.1",26.3905387064783,-18.0182390062446
"E2.MAA000560.3_10_M.1.1",27.8166287560108,-15.7752373562241
"B4.MAA000560.3_10_M.1.1",21.5202802525825,-19.3251969011467
"J17.MAA000560.3_10_M.1.1",30.0899666873891,-5.73805113947913
"I12.MAA000560.3_10_M.1.1",21.5407622999089,-19.3283621596336
"D10.MAA000560.3_10_M.1.1",26.6387892136323,-15.9329267651338
"D19.MAA000561.3_10_M.1.1",26.2375679934348,-17.4892255863272
"D21.MAA000561.3_10_M.1.1",26.2983728829988,-16.0140343663493
"I22.MAA000561.3_10_M.1.1",32.3891540655237,-13.5460610187511
"E19.MAA000561.3_10_M.1.1",30.588728278569,-12.9743256770042
"A22.MAA000561.3_10_M.1.1",24.6387505529661,-17.4063849144855
"F12.MAA000561.3_10_M.1.1",26.4592627291767,1.42076282590236
"B17.MAA000561.3_10_M.1.1",25.8833209252529,-5.07713198903461
"F21.MAA000561.3_10_M.1.1",23.3756073430701,-17.5695246200381
"L17.MAA000561.3_10_M.1.1",24.2321417962581,-19.0047082475253
"G20.MAA000561.3_10_M.1.1",21.2009822097349,-9.20975260247235
"H12.MAA000561.3_10_M.1.1",20.0642436869889,-9.56807268714942
"H15.MAA000561.3_10_M.1.1",25.4469450732778,2.07411067683537
"D18.MAA000561.3_10_M.1.1",36.3360324384541,-8.58178440598635
