"","annot.colors","cell_ontology_class"
"1","#A6CEE3","endothelial.cell"
"2","#1F78B4","endocardial.cell"
"3","#B2DF8A","endothelial.cell.of.hepatic.sinusoid"
"4","#33A02C","lung.endothelial.cell"
