"","annot.colors","cell_ontology_class"
"1","#A6CEE3","bladder.urothelial.cell"
"2","#4590C1","epithelial.cell.of.large.intestine"
"3","#5DA4A2","enterocyte.of.epithelium.of.large.intestine"
"4","#9FD67C","Brush.cell.of.epithelium.proper.of.large.intestine"
"5","#45A939","kidney.collecting.duct.epithelial.cell"
"6","#A59C6A","epithelial.cell.of.proximal.tubule"
"7","#F47575","epithelial.cell.of.lung"
"8","#E31A1C","luminal.epithelial.cell.of.mammary.gland"
"9","#F58F57","basal.cell"
"10","#FDA33F","keratinocyte.stem.cell"
"11","#F7861E","basal.cell.of.epidermis"
"12","#D1AAB7","epidermal.cell"
"13","#936FB3","stem.cell.of.epidermis"
"14","#947499","keratinocyte"
"15","#FFFF99","epithelial.cell"
