"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Gata2",9.51410689048644e-117,0.377453933093082,0.767,0.018,2.16541072827471e-112,"Bladder__bladder.urothelial.cell","Gata2"
"Msx2",1.42572996833621e-90,0.610188208549672,0.9,0.058,3.24496140793322e-86,"Bladder__bladder.urothelial.cell","Msx2"
"Pparg",1.05134820009232e-81,1.36324904949295,0.933,0.09,2.39286850341011e-77,"Bladder__bladder.urothelial.cell","Pparg"
"Foxq1",3.30554557241905e-69,2.67273577026479,0.983,0.163,7.52342172282576e-65,"Bladder__bladder.urothelial.cell","Foxq1"
"Tbx2",1.38835987264457e-59,0.314681862532121,0.717,0.063,3.15990707013904e-55,"Bladder__bladder.urothelial.cell","Tbx2"
"Nfe2l3",4.50431655012588e-55,0.354679134765591,0.717,0.072,1.02518244680865e-50,"Bladder__bladder.urothelial.cell","Nfe2l3"
"Foxa1",2.04359434858713e-48,1.19411006489845,0.967,0.204,4.65122073738432e-44,"Bladder__bladder.urothelial.cell","Foxa1"
"Mecom",4.54235986377055e-48,0.331747879108317,0.8,0.111,1.03384110499418e-43,"Bladder__bladder.urothelial.cell","Mecom"
"Grhl3",4.57672716191274e-45,1.49238324018871,0.867,0.16,1.04166310205134e-40,"Bladder__bladder.urothelial.cell","Grhl3"
"Ets1",1.05420817692276e-32,1.00031758698589,0.85,0.23,2.39937781067621e-28,"Bladder__bladder.urothelial.cell","Ets1"
"Sox15",6.98963795617836e-32,0.444694506845795,0.833,0.163,1.59084159882619e-27,"Bladder__bladder.urothelial.cell","Sox15"
"Nfe2l2",9.68554174475228e-31,1.55100924483236,0.983,0.688,2.20442930110562e-26,"Bladder__bladder.urothelial.cell","Nfe2l2"
"Hes1",1.69019433606668e-29,1.27772249129848,1,0.493,3.84688230888776e-25,"Bladder__bladder.urothelial.cell","Hes1"
"Wnt5a",6.81633994705597e-29,0.307469477017078,0.683,0.132,1.55139897194994e-24,"Bladder__bladder.urothelial.cell","Wnt5a"
"Tbx3",2.49448302370768e-26,0.463742090730947,0.817,0.219,5.67744336195868e-22,"Bladder__bladder.urothelial.cell","Tbx3"
"Elf3",4.46507288358521e-24,1.04437371626321,0.967,0.399,1.01625058830399e-19,"Bladder__bladder.urothelial.cell","Elf3"
"Crem",3.21324876315343e-23,0.607527585140802,0.767,0.218,7.3133541849372e-19,"Bladder__bladder.urothelial.cell","Crem"
"Grhl1",5.71901923483471e-23,0.516699039853753,0.783,0.228,1.30164877784838e-18,"Bladder__bladder.urothelial.cell","Grhl1"
"Srebf1",9.79210853923093e-23,0.770725104938052,0.967,0.43,2.22868390352896e-18,"Bladder__bladder.urothelial.cell","Srebf1"
"Gata3",1.25354738185283e-22,0.870378310151775,1,0.402,2.85307384109705e-18,"Bladder__bladder.urothelial.cell","Gata3"
"Klf5",3.53138869410721e-22,1.00217488802546,0.983,0.686,8.03744066778801e-18,"Bladder__bladder.urothelial.cell","Klf5"
"Hif1a",5.58849670136314e-22,0.990559709790165,0.917,0.554,1.27194184923025e-17,"Bladder__bladder.urothelial.cell","Hif1a"
"Nr1d1",1.98428601341824e-21,0.566279792083459,0.983,0.471,4.51623496653992e-17,"Bladder__bladder.urothelial.cell","Nr1d1"
"Smad2",1.00938555654118e-20,0.545013591980171,0.883,0.365,2.29736152668772e-16,"Bladder__bladder.urothelial.cell","Smad2"
"Ikzf2",1.14343418265766e-20,0.32383491961497,0.833,0.262,2.60245619972883e-16,"Bladder__bladder.urothelial.cell","Ikzf2"
"Ehf",1.3829827539874e-19,0.405221425898891,0.967,0.378,3.14766874807533e-15,"Bladder__bladder.urothelial.cell","Ehf"
"Tgif1",1.21217235776404e-18,0.769648682841067,0.95,0.499,2.75890428627095e-14,"Bladder__bladder.urothelial.cell","Tgif1"
"Runx1",1.77621013595334e-18,0.370054595800548,0.867,0.327,4.0426542694298e-14,"Bladder__bladder.urothelial.cell","Runx1"
"Bcl3",3.69548863314637e-18,0.547717675623338,0.85,0.325,8.41093212904113e-14,"Bladder__bladder.urothelial.cell","Bcl3"
"Zfp750",4.32185733414709e-17,0.559598822861751,0.667,0.189,9.83654729251878e-13,"Bladder__bladder.urothelial.cell","Zfp750"
"Fosl1",4.77574490034452e-17,0.381900814563763,0.917,0.403,1.08695953931841e-12,"Bladder__bladder.urothelial.cell","Fosl1"
"Lrrfip1",2.24890778206529e-16,0.624946377166639,0.933,0.499,5.1185141119806e-12,"Bladder__bladder.urothelial.cell","Lrrfip1"
"Ovol1",1.54242835754661e-15,0.57023585141189,0.783,0.296,3.51056694177608e-11,"Bladder__bladder.urothelial.cell","Ovol1"
"Mafg",7.81672702651073e-15,0.262022721697874,0.883,0.385,1.77908707123384e-10,"Bladder__bladder.urothelial.cell","Mafg"
"Ets2",6.3640351924107e-14,0.72621735349317,0.933,0.653,1.44845440979267e-09,"Bladder__bladder.urothelial.cell","Ets2"
"Rela",5.34079788467081e-13,0.435072682394769,0.9,0.495,1.21556559855108e-08,"Bladder__bladder.urothelial.cell","Rela"
"Tcerg1",3.31994909882552e-11,0.326757060197466,0.883,0.455,7.55620414892688e-07,"Bladder__bladder.urothelial.cell","Tcerg1"
"Ctnnb1",1.45557493168402e-10,0.674585939740188,0.983,0.801,3.31288854451282e-06,"Bladder__bladder.urothelial.cell","Ctnnb1"
"Id1",3.91358582035279e-10,0.638259115685583,0.8,0.382,8.90732132712294e-06,"Bladder__bladder.urothelial.cell","Id1"
"Irf6",6.94890889191183e-09,0.503598115572883,0.867,0.566,0.000158157166379913,"Bladder__bladder.urothelial.cell","Irf6"
"Hnrnpk",1.36377037839405e-05,0.291480448212574,1,0.829,0.310394138122486,"Bladder__bladder.urothelial.cell","Hnrnpk"
"Foxd2",4.77340802134308e-72,0.288914501359774,0.65,0.034,1.08642766565769e-67,"Large_Intestine__epithelial.cell.of.large.intestine","Foxd2"
"Cdx1",3.82152616493697e-61,1.28292867355041,0.933,0.127,8.69779355139655e-57,"Large_Intestine__epithelial.cell.of.large.intestine","Cdx1"
"Myb",8.08152990160276e-50,0.40991388637446,0.7,0.076,1.83935620560479e-45,"Large_Intestine__epithelial.cell.of.large.intestine","Myb"
"Creb3l1",2.54254431084312e-38,0.283716832032358,0.667,0.094,5.78683085147894e-34,"Large_Intestine__epithelial.cell.of.large.intestine","Creb3l1"
"Cdx2",3.95485138679926e-38,0.643095469883321,0.517,0.053,9.00124175635512e-34,"Large_Intestine__epithelial.cell.of.large.intestine","Cdx2"
"Plscr1",1.72192924584305e-23,0.450982481761561,0.8,0.218,3.91911096353878e-19,"Large_Intestine__epithelial.cell.of.large.intestine","Plscr1"
"Nr1h4",3.69898427842515e-23,0.289748659482205,0.483,0.076,8.41888821769563e-19,"Large_Intestine__epithelial.cell.of.large.intestine","Nr1h4"
"Gata6",1.98992617196699e-22,0.300717799620931,0.633,0.14,4.52907196739687e-18,"Large_Intestine__epithelial.cell.of.large.intestine","Gata6"
"Elf31",7.99906001217253e-22,1.27505234590301,0.933,0.401,1.82058605877047e-17,"Large_Intestine__epithelial.cell.of.large.intestine","Elf3"
"Atoh1",2.12310790396874e-18,0.44871397909264,0.167,0.009,4.83219358943285e-14,"Large_Intestine__epithelial.cell.of.large.intestine","Atoh1"
"Isx",9.37707282027171e-17,0.289481756918325,0.317,0.046,2.13422177389384e-12,"Large_Intestine__epithelial.cell.of.large.intestine","Isx"
"Hes6",2.62630788184653e-16,0.650012838822876,0.633,0.214,5.9774767390827e-12,"Large_Intestine__epithelial.cell.of.large.intestine","Hes6"
"Ehf1",4.6032305923574e-16,0.511117759145901,0.85,0.386,1.04769528282055e-11,"Large_Intestine__epithelial.cell.of.large.intestine","Ehf"
"Hes11",7.72994701729628e-15,0.44851031387347,0.967,0.495,1.75933594113663e-10,"Large_Intestine__epithelial.cell.of.large.intestine","Hes1"
"Creb3l4",3.81487110093062e-14,0.311650149934332,0.3,0.05,8.68264662571809e-10,"Large_Intestine__epithelial.cell.of.large.intestine","Creb3l4"
"Tfcp2l1",1.39998125913317e-13,0.428286184997049,0.717,0.291,3.18635734578709e-09,"Large_Intestine__epithelial.cell.of.large.intestine","Tfcp2l1"
"Vdr",1.90705992388206e-12,0.317119163809992,0.817,0.41,4.34046838675556e-08,"Large_Intestine__epithelial.cell.of.large.intestine","Vdr"
"Hmgb2",4.56846241199081e-12,0.719570067603058,0.95,0.653,1.03978204496911e-07,"Large_Intestine__epithelial.cell.of.large.intestine","Hmgb2"
"Osr2",2.35791710389427e-11,0.279310715732028,0.35,0.083,5.36661932846335e-07,"Large_Intestine__epithelial.cell.of.large.intestine","Osr2"
"Ascl2",5.02919002311364e-09,0.285112759906874,0.333,0.095,0.000114464364926067,"Large_Intestine__epithelial.cell.of.large.intestine","Ascl2"
"Zscan21",9.85960968709356e-08,0.33457168896429,0.383,0.132,0.00224404716478249,"Large_Intestine__epithelial.cell.of.large.intestine","Zscan21"
"Klf51",3.31391705049115e-07,0.416199566197657,0.967,0.688,0.00754247520691785,"Large_Intestine__epithelial.cell.of.large.intestine","Klf5"
"Mlx",2.61254482643718e-06,0.254435994605459,0.6,0.334,0.0594615202497101,"Large_Intestine__epithelial.cell.of.large.intestine","Mlx"
"Spdef",1.83134531800177e-05,0.266177081555371,0.133,0.029,0.416814194377202,"Large_Intestine__epithelial.cell.of.large.intestine","Spdef"
"Mkl2",2.00409928362707e-05,0.346693477639583,0.633,0.411,0.456132996953521,"Large_Intestine__epithelial.cell.of.large.intestine","Mkl2"
"Chchd3",0.000938947834636718,0.258155318424616,0.7,0.571,1,"Large_Intestine__epithelial.cell.of.large.intestine","Chchd3"
"Isx1",1.98157960399598e-79,0.851668296829084,0.633,0.025,4.51007517869485e-75,"Large_Intestine__enterocyte.of.epithelium.of.large.intestine","Isx"
"Nr3c2",5.1486550537545e-68,0.865450238141157,0.683,0.046,1.17183389023452e-63,"Large_Intestine__enterocyte.of.epithelium.of.large.intestine","Nr3c2"
"Hnf4a",2.60816367660026e-47,1.04087008409198,0.8,0.116,5.93618052794218e-43,"Large_Intestine__enterocyte.of.epithelium.of.large.intestine","Hnf4a"
"Nr1h41",1.93904625447874e-44,0.595914411494168,0.633,0.066,4.41326927519362e-40,"Large_Intestine__enterocyte.of.epithelium.of.large.intestine","Nr1h4"
"Cdx11",2.12352452525844e-43,0.760627597790635,0.85,0.132,4.8331418194882e-39,"Large_Intestine__enterocyte.of.epithelium.of.large.intestine","Cdx1"
"Hnf4g",1.93102661033324e-40,0.47264355976264,0.483,0.04,4.39501656511846e-36,"Large_Intestine__enterocyte.of.epithelium.of.large.intestine","Hnf4g"
"Irf7",5.1606561608621e-39,1.07647258168366,0.683,0.106,1.17456534221221e-34,"Large_Intestine__enterocyte.of.epithelium.of.large.intestine","Irf7"
"Mxd1",7.9167804611269e-36,1.473701896896,0.867,0.235,1.80185923295248e-31,"Large_Intestine__enterocyte.of.epithelium.of.large.intestine","Mxd1"
"Cdx21",4.25745280651153e-31,0.293389526834874,0.483,0.055,9.68996258762024e-27,"Large_Intestine__enterocyte.of.epithelium.of.large.intestine","Cdx2"
"Osr21",5.89264144946389e-18,0.429526228974662,0.417,0.078,1.34116519389798e-13,"Large_Intestine__enterocyte.of.epithelium.of.large.intestine","Osr2"
"Tfcp2l11",1.27774710276625e-17,0.673224941511053,0.783,0.287,2.90815240589598e-13,"Large_Intestine__enterocyte.of.epithelium.of.large.intestine","Tfcp2l1"
"Vdr1",2.99503231938858e-16,0.515840796286338,0.867,0.406,6.81669355892841e-12,"Large_Intestine__enterocyte.of.epithelium.of.large.intestine","Vdr"
"Tcf7l2",8.74541489250754e-13,0.742658633571199,0.933,0.649,1.99045642953472e-08,"Large_Intestine__enterocyte.of.epithelium.of.large.intestine","Tcf7l2"
"Plscr11",4.86143099978502e-12,0.507159875961025,0.617,0.231,1.10646169555107e-07,"Large_Intestine__enterocyte.of.epithelium.of.large.intestine","Plscr1"
"Pparg1",6.80311459810575e-12,0.346507002745372,0.45,0.122,1.54838888252887e-07,"Large_Intestine__enterocyte.of.epithelium.of.large.intestine","Pparg"
"Foxo3",1.08339292920181e-11,0.401384788220157,0.467,0.149,2.46580230686332e-07,"Large_Intestine__enterocyte.of.epithelium.of.large.intestine","Foxo3"
"Esrra",1.39603767193233e-10,0.404750842210825,0.633,0.298,3.17738174131799e-06,"Large_Intestine__enterocyte.of.epithelium.of.large.intestine","Esrra"
"Elf32",9.77497351365478e-09,0.343379394123168,0.833,0.408,0.000222478397170783,"Large_Intestine__enterocyte.of.epithelium.of.large.intestine","Elf3"
"Irf2",5.15302799261582e-08,0.267840598554276,0.6,0.318,0.00117282917111936,"Large_Intestine__enterocyte.of.epithelium.of.large.intestine","Irf2"
"Camta2",5.97129461131585e-06,0.285464730727846,0.417,0.179,0.135906665353549,"Large_Intestine__enterocyte.of.epithelium.of.large.intestine","Camta2"
"Ddit3",0.000150804492840907,0.276637254836776,0.467,0.261,1,"Large_Intestine__enterocyte.of.epithelium.of.large.intestine","Ddit3"
"Relb",0.000480498749655927,0.321746441424954,0.5,0.305,1,"Large_Intestine__enterocyte.of.epithelium.of.large.intestine","Relb"
"Tsc22d4",0.000749822450929442,0.273527160735857,0.65,0.516,1,"Large_Intestine__enterocyte.of.epithelium.of.large.intestine","Tsc22d4"
"Max",0.00209609032126957,0.410950208173267,0.633,0.442,1,"Large_Intestine__enterocyte.of.epithelium.of.large.intestine","Max"
"St18",7.5817137761768e-142,0.714085292866391,0.8,0.009,1.72559805545784e-137,"Large_Intestine__Brush.cell.of.epithelium.proper.of.large.intestine","St18"
"Spib",5.0292267716249e-105,0.971418222864816,0.667,0.013,1.14465201322183e-100,"Large_Intestine__Brush.cell.of.epithelium.proper.of.large.intestine","Spib"
"Cdx12",2.04229534676629e-48,1.04737507892114,0.883,0.13,4.64826420924007e-44,"Large_Intestine__Brush.cell.of.epithelium.proper.of.large.intestine","Cdx1"
"Ehf2",2.21053146168882e-18,1.07602363865929,0.867,0.385,5.03116960680376e-14,"Large_Intestine__Brush.cell.of.epithelium.proper.of.large.intestine","Ehf"
"Irf71",3.91837469090873e-15,0.392436053350956,0.483,0.12,8.91822079650827e-11,"Large_Intestine__Brush.cell.of.epithelium.proper.of.large.intestine","Irf7"
"Pou2f3",4.76716538314207e-11,0.4809395708096,0.45,0.134,1.08500684120313e-06,"Large_Intestine__Brush.cell.of.epithelium.proper.of.large.intestine","Pou2f3"
"Sox9",1.15563492934448e-10,0.305240437467394,0.867,0.427,2.63022509918804e-06,"Large_Intestine__Brush.cell.of.epithelium.proper.of.large.intestine","Sox9"
"Camta21",3.49519328340644e-06,0.335579670550545,0.4,0.18,0.0795505991303307,"Large_Intestine__Brush.cell.of.epithelium.proper.of.large.intestine","Camta2"
"Nfatc1",0.0123632100642545,0.258416595176442,0.433,0.302,1,"Large_Intestine__Brush.cell.of.epithelium.proper.of.large.intestine","Nfatc1"
"Pou3f3",4.272525087914e-26,0.395334699654568,0.167,0.003,9.72426710009227e-22,"Kidney__kidney.collecting.duct.epithelial.cell","Pou3f3"
"Hoxd8",9.40785352130378e-18,1.42989661696866,0.35,0.06,2.14122746144874e-13,"Kidney__kidney.collecting.duct.epithelial.cell","Hoxd8"
"Esrrb",4.72987562547832e-16,0.636120571655201,0.2,0.018,1.07651969235887e-11,"Kidney__kidney.collecting.duct.epithelial.cell","Esrrb"
"Hoxd9",1.32163867890212e-12,0.455570868056789,0.183,0.021,3.00804963318122e-08,"Kidney__kidney.collecting.duct.epithelial.cell","Hoxd9"
"Ctnnb11",2.84445871107805e-06,0.287006310295953,0.433,0.838,0.0647398802641365,"Kidney__kidney.collecting.duct.epithelial.cell","Ctnnb1"
"Zfp655",4.70471937950815e-06,0.279142279588087,0.117,0.447,0.107079413077605,"Kidney__kidney.collecting.duct.epithelial.cell","Zfp655"
"Gtf2ird1",4.96734434811683e-06,0.285977667424302,0.05,0.348,0.113056757363139,"Kidney__kidney.collecting.duct.epithelial.cell","Gtf2ird1"
"Spen",1.48262526089484e-05,0.260966183319161,0.1,0.408,0.337445509379665,"Kidney__kidney.collecting.duct.epithelial.cell","Spen"
"Hivep1",2.61504523036449e-05,0.482509155928865,0.067,0.337,0.595184294430958,"Kidney__kidney.collecting.duct.epithelial.cell","Hivep1"
"Gatad1",7.52254882430902e-05,0.359525451264974,0.25,0.662,1,"Kidney__kidney.collecting.duct.epithelial.cell","Gatad1"
"Stk16",9.77439408984176e-05,0.263848276672818,0.117,0.41,1,"Kidney__kidney.collecting.duct.epithelial.cell","Stk16"
"Rad21",0.000192111413730704,0.26724132535484,0.167,0.404,1,"Kidney__kidney.collecting.duct.epithelial.cell","Rad21"
"Jarid2",0.000285579956946689,0.491388501221457,0.117,0.359,1,"Kidney__kidney.collecting.duct.epithelial.cell","Jarid2"
"Cc2d1b",0.000289932286941622,0.624234611991104,0.05,0.279,1,"Kidney__kidney.collecting.duct.epithelial.cell","Cc2d1b"
"Strn3",0.000507164259660308,0.255706703929028,0.333,0.622,1,"Kidney__kidney.collecting.duct.epithelial.cell","Strn3"
"Tsc22d41",0.0005807916946671,0.285332719107973,0.267,0.542,1,"Kidney__kidney.collecting.duct.epithelial.cell","Tsc22d4"
"Tfap2b",0.000710364551920258,1.01662246347496,0.433,0.275,1,"Kidney__kidney.collecting.duct.epithelial.cell","Tfap2b"
